"Year","timeseries","value"
1996,"npgo.winter",-0.946881866666667
1997,"npgo.winter",-1.12378273333333
1998,"npgo.winter",1.1070969
1999,"npgo.winter",1.7870942
2000,"npgo.winter",1.8924457
2001,"npgo.winter",2.73558486666667
2002,"npgo.winter",1.9799301
2003,"npgo.winter",1.48415343333333
2004,"npgo.winter",0.438392273333333
2005,"npgo.winter",-1.54659223333333
2006,"npgo.winter",-0.808627366666667
2007,"npgo.winter",-0.36575257
2008,"npgo.winter",1.02209503333333
2009,"npgo.winter",0.654378733333333
2010,"npgo.winter",1.8517315
2011,"npgo.winter",0.691603166666667
2012,"npgo.winter",0.937738353333333
2013,"npgo.winter",1.02570708333333
2014,"npgo.winter",-0.370119393333333
2015,"npgo.winter",-1.07338685333333
2016,"npgo.winter",0.546140686666667
1996,"noi.summer",0.809666666666667
1997,"noi.summer",-2.32033333333333
1998,"noi.summer",1.26233333333333
1999,"noi.summer",-0.687666666666667
2000,"noi.summer",0.193
2001,"noi.summer",0.643666666666667
2002,"noi.summer",-0.584333333333333
2003,"noi.summer",-0.613
2004,"noi.summer",-0.427
2005,"noi.summer",0.0253333333333333
2006,"noi.summer",-0.513
2007,"noi.summer",0.028
2008,"noi.summer",-0.517
2009,"noi.summer",-0.814
2010,"noi.summer",1.05233333333333
2011,"noi.summer",-0.097
2012,"noi.summer",0.24
2013,"noi.summer",0.111333333333333
2014,"noi.summer",-0.664333333333333
2015,"noi.summer",-2.916
2016,"noi.summer",1.23866666666667
1996,"AvgOfNorthernBiomassAnomaly",-0.333137762
1997,"AvgOfNorthernBiomassAnomaly",-0.411735985
1998,"AvgOfNorthernBiomassAnomaly",-0.757671651
1999,"AvgOfNorthernBiomassAnomaly",0.042920904
2000,"AvgOfNorthernBiomassAnomaly",0.148882349
2001,"AvgOfNorthernBiomassAnomaly",0.146917238
2002,"AvgOfNorthernBiomassAnomaly",0.284960293
2003,"AvgOfNorthernBiomassAnomaly",-0.131883318
2004,"AvgOfNorthernBiomassAnomaly",0.053970571
2005,"AvgOfNorthernBiomassAnomaly",-0.845394429
2006,"AvgOfNorthernBiomassAnomaly",-0.008868762
2007,"AvgOfNorthernBiomassAnomaly",0.136115015
2008,"AvgOfNorthernBiomassAnomaly",0.256678904
2009,"AvgOfNorthernBiomassAnomaly",0.152280015
2010,"AvgOfNorthernBiomassAnomaly",0.162646127
2011,"AvgOfNorthernBiomassAnomaly",0.435068238
2012,"AvgOfNorthernBiomassAnomaly",0.393837793
2013,"AvgOfNorthernBiomassAnomaly",0.27441446
2014,"AvgOfNorthernBiomassAnomaly",0.259516682
2015,"AvgOfNorthernBiomassAnomaly",-0.328306651
2016,"AvgOfNorthernBiomassAnomaly",-0.895612207
1997,"live_pup_count",19506
1998,"live_pup_count",9428
1999,"live_pup_count",20071
2000,"live_pup_count",19880
2001,"live_pup_count",19806
2002,"live_pup_count",21447
2003,"live_pup_count",16302
2004,"live_pup_count",18961
2005,"live_pup_count",21486
2006,"live_pup_count",20477
2007,"live_pup_count",25290
2008,"live_pup_count",25733
2009,"live_pup_count",12807
2010,"live_pup_count",13422
2011,"live_pup_count",27148
2012,"live_pup_count",26244
2013,"live_pup_count",19282
2014,"live_pup_count",22362
2015,"live_pup_count",16544
2016,"live_pup_count",16987
