time,aragonite_saturation
UTC,relative to 1
1998-08-01T00:00:00Z,0.7667741
1998-09-01T00:00:00Z,0.75083375
1998-10-01T00:00:00Z,NaN
1998-11-01T00:00:00Z,0.7104929
1998-12-01T00:00:00Z,NaN
1999-01-01T00:00:00Z,NaN
1999-02-01T00:00:00Z,0.8546318
1999-03-01T00:00:00Z,NaN
1999-04-01T00:00:00Z,0.8061708
1999-05-01T00:00:00Z,NaN
1999-06-01T00:00:00Z,NaN
1999-07-01T00:00:00Z,0.74864835
1999-08-01T00:00:00Z,NaN
1999-09-01T00:00:00Z,0.81023693
1999-10-01T00:00:00Z,NaN
1999-11-01T00:00:00Z,0.77771854
1999-12-01T00:00:00Z,NaN
2000-01-01T00:00:00Z,NaN
2000-02-01T00:00:00Z,0.84315044
2000-03-01T00:00:00Z,NaN
2000-04-01T00:00:00Z,0.76151025
2000-05-01T00:00:00Z,NaN
2000-06-01T00:00:00Z,NaN
2000-07-01T00:00:00Z,0.72122115
2000-08-01T00:00:00Z,NaN
2000-09-01T00:00:00Z,0.69199854
2000-10-01T00:00:00Z,NaN
2000-11-01T00:00:00Z,NaN
2000-12-01T00:00:00Z,NaN
2001-01-01T00:00:00Z,0.918153
2001-02-01T00:00:00Z,NaN
2001-03-01T00:00:00Z,0.90893775
2001-04-01T00:00:00Z,NaN
2001-05-01T00:00:00Z,NaN
2001-06-01T00:00:00Z,NaN
2001-07-01T00:00:00Z,0.7699194
2001-08-01T00:00:00Z,NaN
2001-09-01T00:00:00Z,0.73282284
2001-10-01T00:00:00Z,NaN
2001-11-01T00:00:00Z,0.91343206
2001-12-01T00:00:00Z,NaN
2002-01-01T00:00:00Z,NaN
2002-02-01T00:00:00Z,0.7517009
2002-03-01T00:00:00Z,NaN
2002-04-01T00:00:00Z,0.72458947
2002-05-01T00:00:00Z,0.68039876
2002-06-01T00:00:00Z,0.6829453
2002-07-01T00:00:00Z,0.6114388
2002-08-01T00:00:00Z,NaN
2002-09-01T00:00:00Z,0.71692765
2002-10-01T00:00:00Z,NaN
2002-11-01T00:00:00Z,NaN
2002-12-01T00:00:00Z,1.0697613
2003-01-01T00:00:00Z,NaN
2003-02-01T00:00:00Z,0.8300603
2003-03-01T00:00:00Z,NaN
2003-04-01T00:00:00Z,0.85855806
2003-05-01T00:00:00Z,NaN
2003-06-01T00:00:00Z,NaN
2003-07-01T00:00:00Z,0.746732
2003-08-01T00:00:00Z,NaN
2003-09-01T00:00:00Z,0.7458539
2003-10-01T00:00:00Z,NaN
2003-11-01T00:00:00Z,NaN
2003-12-01T00:00:00Z,NaN
