time,aragonite_saturation
UTC,relative to 1
1998-09-01T00:00:00Z,0.93636364
1998-10-01T00:00:00Z,NaN
1998-11-01T00:00:00Z,1.467827
1998-12-01T00:00:00Z,NaN
1999-01-01T00:00:00Z,NaN
1999-02-01T00:00:00Z,1.5753083
1999-03-01T00:00:00Z,NaN
1999-04-01T00:00:00Z,1.041741
1999-05-01T00:00:00Z,NaN
1999-06-01T00:00:00Z,NaN
1999-07-01T00:00:00Z,0.6696954
1999-08-01T00:00:00Z,NaN
1999-09-01T00:00:00Z,0.80547065
1999-10-01T00:00:00Z,NaN
1999-11-01T00:00:00Z,1.6919415
1999-12-01T00:00:00Z,NaN
2000-01-01T00:00:00Z,NaN
2000-02-01T00:00:00Z,1.7209057
2000-03-01T00:00:00Z,NaN
2000-04-01T00:00:00Z,0.86590445
2000-05-01T00:00:00Z,NaN
2000-06-01T00:00:00Z,NaN
2000-07-01T00:00:00Z,0.62369925
2000-08-01T00:00:00Z,NaN
2000-09-01T00:00:00Z,0.6725702
2000-10-01T00:00:00Z,NaN
2000-11-01T00:00:00Z,NaN
2000-12-01T00:00:00Z,NaN
2001-01-01T00:00:00Z,1.6236271
2001-02-01T00:00:00Z,NaN
2001-03-01T00:00:00Z,1.9009496
2001-04-01T00:00:00Z,NaN
2001-05-01T00:00:00Z,NaN
2001-06-01T00:00:00Z,0.8766631
2001-07-01T00:00:00Z,0.73165786
2001-08-01T00:00:00Z,NaN
2001-09-01T00:00:00Z,0.6259516
2001-10-01T00:00:00Z,NaN
2001-11-01T00:00:00Z,1.8996155
2001-12-01T00:00:00Z,NaN
2002-01-01T00:00:00Z,NaN
2002-02-01T00:00:00Z,1.8150625
2002-03-01T00:00:00Z,NaN
2002-04-01T00:00:00Z,0.688893
2002-05-01T00:00:00Z,0.94440514
2002-06-01T00:00:00Z,0.6032091
2002-07-01T00:00:00Z,0.4761976
2002-08-01T00:00:00Z,NaN
2002-09-01T00:00:00Z,0.8290102
2002-10-01T00:00:00Z,NaN
2002-11-01T00:00:00Z,NaN
2002-12-01T00:00:00Z,1.6808348
2003-01-01T00:00:00Z,NaN
2003-02-01T00:00:00Z,1.5627077
2003-03-01T00:00:00Z,NaN
2003-04-01T00:00:00Z,1.7780721
2003-05-01T00:00:00Z,NaN
2003-06-01T00:00:00Z,NaN
2003-07-01T00:00:00Z,0.8559865
2003-08-01T00:00:00Z,NaN
2003-09-01T00:00:00Z,0.63382375
2003-10-01T00:00:00Z,NaN
2003-11-01T00:00:00Z,NaN
2003-12-01T00:00:00Z,NaN
2004-01-01T00:00:00Z,NaN
2004-02-01T00:00:00Z,NaN
2004-03-01T00:00:00Z,NaN
2004-04-01T00:00:00Z,NaN
2004-05-01T00:00:00Z,NaN
2004-06-01T00:00:00Z,0.7571491
2004-07-01T00:00:00Z,0.5832173
2004-08-01T00:00:00Z,0.86427695
2004-09-01T00:00:00Z,0.71449894
2004-10-01T00:00:00Z,NaN
2004-11-01T00:00:00Z,NaN
2004-12-01T00:00:00Z,NaN
2005-01-01T00:00:00Z,NaN
2005-02-01T00:00:00Z,NaN
2005-03-01T00:00:00Z,NaN
2005-04-01T00:00:00Z,NaN
2005-05-01T00:00:00Z,NaN
2005-06-01T00:00:00Z,1.516596
2005-07-01T00:00:00Z,NaN
2005-08-01T00:00:00Z,NaN
2005-09-01T00:00:00Z,0.5770081
2005-10-01T00:00:00Z,NaN
2005-11-01T00:00:00Z,1.764868
2005-12-01T00:00:00Z,1.6745137
2006-01-01T00:00:00Z,NaN
2006-02-01T00:00:00Z,1.2792823
2006-03-01T00:00:00Z,1.6934333
2006-04-01T00:00:00Z,1.6777432
2006-05-01T00:00:00Z,0.6378662
2006-06-01T00:00:00Z,0.8068334
2006-07-01T00:00:00Z,0.6831625
2006-08-01T00:00:00Z,0.61214876
2006-09-01T00:00:00Z,0.5848688
2006-10-01T00:00:00Z,0.6996852
2006-11-01T00:00:00Z,1.8177146
2006-12-01T00:00:00Z,1.7556863
2007-01-01T00:00:00Z,1.2041576
2007-02-01T00:00:00Z,1.7263067
2007-03-01T00:00:00Z,1.4436353
2007-04-01T00:00:00Z,1.1003063
2007-05-01T00:00:00Z,0.85159343
2007-06-01T00:00:00Z,0.6466873
2007-07-01T00:00:00Z,0.6221884
2007-08-01T00:00:00Z,0.6092072
2007-09-01T00:00:00Z,0.6536747
2007-10-01T00:00:00Z,1.4202795
2007-11-01T00:00:00Z,1.2219067
2007-12-01T00:00:00Z,1.5600666
2008-01-01T00:00:00Z,NaN
2008-02-01T00:00:00Z,1.4917752
2008-03-01T00:00:00Z,1.573785
2008-04-01T00:00:00Z,0.76564425
2008-05-01T00:00:00Z,0.81873655
2008-06-01T00:00:00Z,0.653943
2008-07-01T00:00:00Z,0.7438025
2008-08-01T00:00:00Z,0.8680496
2008-09-01T00:00:00Z,0.83595
2008-10-01T00:00:00Z,1.1363803
2008-11-01T00:00:00Z,1.8136016
2008-12-01T00:00:00Z,1.6344943
2009-01-01T00:00:00Z,1.5967692
2009-02-01T00:00:00Z,1.4669595
2009-03-01T00:00:00Z,1.697879
2009-04-01T00:00:00Z,0.7294153
2009-05-01T00:00:00Z,1.0763087
2009-06-01T00:00:00Z,0.6712978
2009-07-01T00:00:00Z,0.62418807
2009-08-01T00:00:00Z,0.7100915
2009-09-01T00:00:00Z,0.85991985
2009-10-01T00:00:00Z,1.230934
2009-11-01T00:00:00Z,1.7814541
2009-12-01T00:00:00Z,1.5667002
2010-01-01T00:00:00Z,NaN
2010-02-01T00:00:00Z,1.7668406
2010-03-01T00:00:00Z,1.4847518
2010-04-01T00:00:00Z,1.5965035
2010-05-01T00:00:00Z,0.95955276
2010-06-01T00:00:00Z,1.3834938
2010-07-01T00:00:00Z,0.7513187
2010-08-01T00:00:00Z,0.78216094
2010-09-01T00:00:00Z,0.8270465
2010-10-01T00:00:00Z,0.7419117
2010-11-01T00:00:00Z,1.8650767
2010-12-01T00:00:00Z,NaN
2011-01-01T00:00:00Z,1.6819469
2011-02-01T00:00:00Z,1.337127
2011-03-01T00:00:00Z,NaN
2011-04-01T00:00:00Z,1.6884917
2011-05-01T00:00:00Z,0.7390071
2011-06-01T00:00:00Z,0.7321655
2011-07-01T00:00:00Z,0.64888966
2011-08-01T00:00:00Z,0.6238905
2011-09-01T00:00:00Z,1.0412351
2011-10-01T00:00:00Z,1.0973697
2011-11-01T00:00:00Z,1.7791327
2011-12-01T00:00:00Z,1.1231949
2012-01-01T00:00:00Z,1.6564332
2012-02-01T00:00:00Z,1.6396611
2012-03-01T00:00:00Z,1.3367994
2012-04-01T00:00:00Z,1.6747578
2012-05-01T00:00:00Z,1.0097929
2012-06-01T00:00:00Z,0.9096591
2012-07-01T00:00:00Z,0.6858205
2012-08-01T00:00:00Z,0.6310449
2012-09-01T00:00:00Z,0.70584667
2012-10-01T00:00:00Z,1.3700855
2012-11-01T00:00:00Z,1.8375876
2012-12-01T00:00:00Z,1.7431917
2013-01-01T00:00:00Z,1.5891474
2013-02-01T00:00:00Z,1.0745744
2013-03-01T00:00:00Z,1.4133999
2013-04-01T00:00:00Z,0.6881863
2013-05-01T00:00:00Z,0.88895357
2013-06-01T00:00:00Z,0.9164486
2013-07-01T00:00:00Z,0.6205969
2013-08-01T00:00:00Z,0.6297182
2013-09-01T00:00:00Z,1.3123037
2013-10-01T00:00:00Z,1.268687
2013-11-01T00:00:00Z,1.569753
2013-12-01T00:00:00Z,1.2220939
2014-01-01T00:00:00Z,1.4750965
2014-02-01T00:00:00Z,1.55108
2014-03-01T00:00:00Z,1.8669884
2014-04-01T00:00:00Z,1.8470291
2014-05-01T00:00:00Z,1.5189689
2014-06-01T00:00:00Z,0.7126911
2014-07-01T00:00:00Z,0.69709194
2014-08-01T00:00:00Z,0.76258755
2014-09-01T00:00:00Z,1.4167087
2014-10-01T00:00:00Z,1.6155454
2014-11-01T00:00:00Z,1.9945109
2014-12-01T00:00:00Z,1.7909979
2015-01-01T00:00:00Z,1.8966749
2015-02-01T00:00:00Z,1.7893488
2015-03-01T00:00:00Z,1.3780429
2015-04-01T00:00:00Z,1.1064839
2015-05-01T00:00:00Z,0.7517057
2015-06-01T00:00:00Z,0.8016854
2015-07-01T00:00:00Z,0.9332833
2015-08-01T00:00:00Z,0.8938475
2015-09-01T00:00:00Z,0.94088095
2015-10-01T00:00:00Z,1.0694891
2015-11-01T00:00:00Z,1.7001132
2015-12-01T00:00:00Z,NaN
2016-01-01T00:00:00Z,1.8487761
2016-02-01T00:00:00Z,2.1324313
2016-03-01T00:00:00Z,1.8937894
2016-04-01T00:00:00Z,1.5265253
2016-05-01T00:00:00Z,0.7894999
2016-06-01T00:00:00Z,0.70774716
2016-07-01T00:00:00Z,0.63264906
