time,dissolved_oxygen
UTC,ml/L
1998-01-01T00:00:00Z,NaN
1998-02-01T00:00:00Z,NaN
1998-03-01T00:00:00Z,NaN
1998-04-01T00:00:00Z,NaN
1998-05-01T00:00:00Z,NaN
1998-06-01T00:00:00Z,NaN
1998-07-01T00:00:00Z,NaN
1998-08-01T00:00:00Z,2.37
1998-09-01T00:00:00Z,2.36
1998-10-01T00:00:00Z,NaN
1998-11-01T00:00:00Z,2.2
1998-12-01T00:00:00Z,NaN
1999-01-01T00:00:00Z,NaN
1999-02-01T00:00:00Z,2.9
1999-03-01T00:00:00Z,NaN
1999-04-01T00:00:00Z,2.61
1999-05-01T00:00:00Z,NaN
1999-06-01T00:00:00Z,NaN
1999-07-01T00:00:00Z,2.125
1999-08-01T00:00:00Z,NaN
1999-09-01T00:00:00Z,2.62
1999-10-01T00:00:00Z,NaN
1999-11-01T00:00:00Z,2.45
1999-12-01T00:00:00Z,NaN
2000-01-01T00:00:00Z,NaN
2000-02-01T00:00:00Z,2.83
2000-03-01T00:00:00Z,NaN
2000-04-01T00:00:00Z,2.27
2000-05-01T00:00:00Z,NaN
2000-06-01T00:00:00Z,NaN
2000-07-01T00:00:00Z,1.85
2000-08-01T00:00:00Z,NaN
2000-09-01T00:00:00Z,1.89
2000-10-01T00:00:00Z,NaN
2000-11-01T00:00:00Z,NaN
2000-12-01T00:00:00Z,NaN
2001-01-01T00:00:00Z,3.19
2001-02-01T00:00:00Z,NaN
2001-03-01T00:00:00Z,3.14
2001-04-01T00:00:00Z,NaN
2001-05-01T00:00:00Z,NaN
2001-06-01T00:00:00Z,NaN
2001-07-01T00:00:00Z,2.3
2001-08-01T00:00:00Z,NaN
2001-09-01T00:00:00Z,2.1
2001-10-01T00:00:00Z,NaN
2001-11-01T00:00:00Z,3.17
2001-12-01T00:00:00Z,NaN
2002-01-01T00:00:00Z,NaN
2002-02-01T00:00:00Z,2.37
2002-03-01T00:00:00Z,NaN
2002-04-01T00:00:00Z,2.21
2002-05-01T00:00:00Z,1.82
2002-06-01T00:00:00Z,1.736
2002-07-01T00:00:00Z,1.1
2002-08-01T00:00:00Z,NaN
2002-09-01T00:00:00Z,2.14
2002-10-01T00:00:00Z,NaN
2002-11-01T00:00:00Z,NaN
2002-12-01T00:00:00Z,3.91
2003-01-01T00:00:00Z,NaN
2003-02-01T00:00:00Z,2.72
2003-03-01T00:00:00Z,NaN
2003-04-01T00:00:00Z,2.89
2003-05-01T00:00:00Z,NaN
2003-06-01T00:00:00Z,NaN
2003-07-01T00:00:00Z,2.16
2003-08-01T00:00:00Z,NaN
2003-09-01T00:00:00Z,2.28
2003-10-01T00:00:00Z,NaN
2003-11-01T00:00:00Z,NaN
2003-12-01T00:00:00Z,NaN
2004-01-01T00:00:00Z,NaN
2004-02-01T00:00:00Z,NaN
2004-03-01T00:00:00Z,NaN
2004-04-01T00:00:00Z,NaN
2004-05-01T00:00:00Z,NaN
2004-06-01T00:00:00Z,1.99
2004-07-01T00:00:00Z,2.019395
2004-08-01T00:00:00Z,2.1988199
2004-09-01T00:00:00Z,2.0600002
2004-10-01T00:00:00Z,NaN
2004-11-01T00:00:00Z,NaN
2004-12-01T00:00:00Z,NaN
2005-01-01T00:00:00Z,NaN
2005-02-01T00:00:00Z,NaN
2005-03-01T00:00:00Z,NaN
2005-04-01T00:00:00Z,NaN
2005-05-01T00:00:00Z,NaN
2005-06-01T00:00:00Z,2.13961
2005-07-01T00:00:00Z,NaN
2005-08-01T00:00:00Z,NaN
2005-09-01T00:00:00Z,1.57987
2005-10-01T00:00:00Z,NaN
2005-11-01T00:00:00Z,1.49882
2005-12-01T00:00:00Z,1.79101
2006-01-01T00:00:00Z,NaN
2006-02-01T00:00:00Z,2.14242
2006-03-01T00:00:00Z,NaN
2006-04-01T00:00:00Z,2.415335
2006-05-01T00:00:00Z,2.41
2006-06-01T00:00:00Z,1.70066
2006-07-01T00:00:00Z,1.52878
2006-08-01T00:00:00Z,2.155865
2006-09-01T00:00:00Z,1.896615
2006-10-01T00:00:00Z,1.91043
2006-11-01T00:00:00Z,NaN
2006-12-01T00:00:00Z,2.32965
2007-01-01T00:00:00Z,2.631835
2007-02-01T00:00:00Z,2.45958
2007-03-01T00:00:00Z,1.96121
2007-04-01T00:00:00Z,1.668015
2007-05-01T00:00:00Z,2.09402
2007-06-01T00:00:00Z,1.477555
2007-07-01T00:00:00Z,1.6895751
2007-08-01T00:00:00Z,1.3457633
2007-09-01T00:00:00Z,1.7303
2007-10-01T00:00:00Z,2.3195233
2007-11-01T00:00:00Z,2.27313
2007-12-01T00:00:00Z,2.73913
2008-01-01T00:00:00Z,NaN
2008-02-01T00:00:00Z,2.76603
2008-03-01T00:00:00Z,2.43416
2008-04-01T00:00:00Z,2.2693548
2008-05-01T00:00:00Z,1.88997
2008-06-01T00:00:00Z,1.49013
2008-07-01T00:00:00Z,1.8001167
2008-08-01T00:00:00Z,2.6299567
2008-09-01T00:00:00Z,1.9737201
2008-10-01T00:00:00Z,2.23512
2008-11-01T00:00:00Z,2.63725
2008-12-01T00:00:00Z,3.33539
2009-01-01T00:00:00Z,2.46319
2009-02-01T00:00:00Z,2.521515
2009-03-01T00:00:00Z,2.79271
2009-04-01T00:00:00Z,2.27916
2009-05-01T00:00:00Z,1.77347
2009-06-01T00:00:00Z,1.8715
2009-07-01T00:00:00Z,1.9654868
2009-08-01T00:00:00Z,2.0773
2009-09-01T00:00:00Z,2.0578098
2009-10-01T00:00:00Z,2.0511549
2009-11-01T00:00:00Z,2.73597
2009-12-01T00:00:00Z,2.53062
2010-01-01T00:00:00Z,NaN
2010-02-01T00:00:00Z,3.187075
2010-03-01T00:00:00Z,3.17031
2010-04-01T00:00:00Z,2.78675
2010-05-01T00:00:00Z,2.53526
2010-06-01T00:00:00Z,2.2839284
2010-07-01T00:00:00Z,1.7969401
2010-08-01T00:00:00Z,2.04443
2010-09-01T00:00:00Z,2.0737376
2010-10-01T00:00:00Z,2.13672
2010-11-01T00:00:00Z,2.05304
2010-12-01T00:00:00Z,NaN
2011-01-01T00:00:00Z,2.52762
2011-02-01T00:00:00Z,2.55641
2011-03-01T00:00:00Z,NaN
2011-04-01T00:00:00Z,2.28444
2011-05-01T00:00:00Z,1.85974
2011-06-01T00:00:00Z,2.2644598
2011-07-01T00:00:00Z,1.6043099
2011-08-01T00:00:00Z,1.975575
2011-09-01T00:00:00Z,1.8364333
2011-10-01T00:00:00Z,2.25321
2011-11-01T00:00:00Z,NaN
2011-12-01T00:00:00Z,2.11024
2012-01-01T00:00:00Z,2.51393
2012-02-01T00:00:00Z,NaN
2012-03-01T00:00:00Z,2.33204
2012-04-01T00:00:00Z,2.680975
2012-05-01T00:00:00Z,2.3632767
2012-06-01T00:00:00Z,1.94246
2012-07-01T00:00:00Z,2.10183
2012-08-01T00:00:00Z,1.99722
2012-09-01T00:00:00Z,2.25906
2012-10-01T00:00:00Z,2.45316
2012-11-01T00:00:00Z,2.52892
2012-12-01T00:00:00Z,NaN
2013-01-01T00:00:00Z,2.84644
2013-02-01T00:00:00Z,NaN
2013-03-01T00:00:00Z,2.3276198
2013-04-01T00:00:00Z,1.91251
2013-05-01T00:00:00Z,1.5042751
2013-06-01T00:00:00Z,2.04747
2013-07-01T00:00:00Z,2.00932
2013-08-01T00:00:00Z,2.26831
2013-09-01T00:00:00Z,NaN
2013-10-01T00:00:00Z,2.218345
2013-11-01T00:00:00Z,1.97104
2013-12-01T00:00:00Z,2.69266
2014-01-01T00:00:00Z,2.47737
2014-02-01T00:00:00Z,2.72656
2014-03-01T00:00:00Z,NaN
2014-04-01T00:00:00Z,2.59933
2014-05-01T00:00:00Z,2.19444
2014-06-01T00:00:00Z,2.01562
2014-07-01T00:00:00Z,2.115445
2014-08-01T00:00:00Z,1.85748
2014-09-01T00:00:00Z,2.12214
2014-10-01T00:00:00Z,2.50758
2014-11-01T00:00:00Z,2.70395
2014-12-01T00:00:00Z,NaN
2015-01-01T00:00:00Z,2.9231248
2015-02-01T00:00:00Z,3.29775
2015-03-01T00:00:00Z,2.7849333
2015-04-01T00:00:00Z,2.2757
2015-05-01T00:00:00Z,2.4627001
2015-06-01T00:00:00Z,2.2818
2015-07-01T00:00:00Z,2.2512999
2015-08-01T00:00:00Z,2.397
2015-09-01T00:00:00Z,2.6452
2015-10-01T00:00:00Z,3.18565
2015-11-01T00:00:00Z,2.681
2015-12-01T00:00:00Z,NaN
2016-01-01T00:00:00Z,NaN
2016-02-01T00:00:00Z,3.4164
2016-03-01T00:00:00Z,3.0204
2016-04-01T00:00:00Z,2.4185
2016-05-01T00:00:00Z,2.3556
2016-06-01T00:00:00Z,2.3601499
2016-07-01T00:00:00Z,NaN
2016-08-01T00:00:00Z,2.08
2016-09-01T00:00:00Z,2.0572
2016-10-01T00:00:00Z,2.5249
2016-11-01T00:00:00Z,NaN
2016-12-01T00:00:00Z,3.0616
2017-01-01T00:00:00Z,3.1527
2017-02-01T00:00:00Z,3.0647001
2017-03-01T00:00:00Z,2.5262
2017-04-01T00:00:00Z,NaN
2017-05-01T00:00:00Z,2.0619
2017-06-01T00:00:00Z,1.9328
2017-07-01T00:00:00Z,1.6121
2017-08-01T00:00:00Z,1.8784
2017-09-01T00:00:00Z,2.1566
