time,dissolved_oxygen
UTC,ml/L
1998-01-30T00:00:00Z,NaN
1998-02-02T00:00:00Z,NaN
1998-03-05T00:00:00Z,NaN
1998-03-18T00:00:00Z,NaN
1998-04-05T00:00:00Z,NaN
1998-04-10T00:00:00Z,NaN
1998-04-21T00:00:00Z,NaN
1998-04-29T00:00:00Z,NaN
1998-05-12T00:00:00Z,NaN
1998-05-27T00:00:00Z,NaN
1998-06-02T00:00:00Z,NaN
1998-06-03T00:00:00Z,NaN
1998-06-12T00:00:00Z,NaN
1998-06-23T00:00:00Z,NaN
1998-07-06T00:00:00Z,NaN
1998-07-20T00:00:00Z,NaN
1998-08-06T00:00:00Z,NaN
1998-08-14T00:00:00Z,2.24
1998-08-27T00:00:00Z,NaN
1998-09-10T00:00:00Z,NaN
1998-09-20T00:00:00Z,NaN
1998-09-24T00:00:00Z,2.49
1998-09-26T00:00:00Z,2.49
1998-10-05T00:00:00Z,NaN
1998-11-03T00:00:00Z,NaN
1998-11-16T00:00:00Z,4.53
1999-02-17T00:00:00Z,5.81
1999-03-11T00:00:00Z,NaN
1999-04-01T00:00:00Z,NaN
1999-04-19T00:00:00Z,2.94
1999-04-29T00:00:00Z,NaN
1999-05-14T00:00:00Z,NaN
1999-05-22T00:00:00Z,NaN
1999-05-23T00:00:00Z,NaN
1999-06-10T00:00:00Z,NaN
1999-06-23T00:00:00Z,NaN
1999-07-03T00:00:00Z,1.17
1999-07-09T00:00:00Z,1.59
1999-07-19T00:00:00Z,NaN
1999-07-26T00:00:00Z,NaN
1999-08-05T00:00:00Z,NaN
1999-08-19T00:00:00Z,NaN
1999-09-08T00:00:00Z,NaN
1999-09-22T00:00:00Z,2.45
1999-09-29T00:00:00Z,NaN
1999-10-15T00:00:00Z,NaN
1999-11-04T00:00:00Z,5.92
1999-12-20T00:00:00Z,NaN
2000-01-20T00:00:00Z,NaN
2000-02-01T00:00:00Z,6.19
2000-02-16T00:00:00Z,NaN
2000-03-07T00:00:00Z,NaN
2000-03-29T00:00:00Z,NaN
2000-04-06T00:00:00Z,NaN
2000-04-11T00:00:00Z,2.38
2000-04-30T00:00:00Z,NaN
2000-05-17T00:00:00Z,NaN
2000-05-22T00:00:00Z,NaN
2000-06-12T00:00:00Z,NaN
2000-06-17T00:00:00Z,NaN
2000-06-18T00:00:00Z,NaN
2000-06-23T00:00:00Z,NaN
2000-07-07T00:00:00Z,1.37
2000-07-19T00:00:00Z,NaN
2000-08-04T00:00:00Z,NaN
2000-08-12T00:00:00Z,NaN
2000-08-18T00:00:00Z,NaN
2000-08-28T00:00:00Z,NaN
2000-09-07T00:00:00Z,1.38
2000-09-23T00:00:00Z,NaN
2000-09-25T00:00:00Z,NaN
2000-10-06T00:00:00Z,NaN
2000-10-23T00:00:00Z,NaN
2000-11-07T00:00:00Z,NaN
