time,dissolved_oxygen
UTC,ml/L
1984-01-01T00:00:00Z,3.27
1984-02-01T00:00:00Z,NaN
1984-03-01T00:00:00Z,3.075
1984-04-01T00:00:00Z,2.4025
1984-05-01T00:00:00Z,NaN
1984-06-01T00:00:00Z,3.02
1984-07-01T00:00:00Z,3.0775
1984-08-01T00:00:00Z,NaN
1984-09-01T00:00:00Z,NaN
1984-10-01T00:00:00Z,3.2175
1984-11-01T00:00:00Z,NaN
1984-12-01T00:00:00Z,NaN
1985-01-01T00:00:00Z,NaN
1985-02-01T00:00:00Z,2.83
1985-03-01T00:00:00Z,NaN
1985-04-01T00:00:00Z,NaN
1985-05-01T00:00:00Z,2.8
1985-06-01T00:00:00Z,NaN
1985-07-01T00:00:00Z,NaN
1985-08-01T00:00:00Z,2.23
1985-09-01T00:00:00Z,NaN
1985-10-01T00:00:00Z,NaN
1985-11-01T00:00:00Z,2.95
1985-12-01T00:00:00Z,NaN
1986-01-01T00:00:00Z,NaN
1986-02-01T00:00:00Z,2.78
1986-03-01T00:00:00Z,NaN
1986-04-01T00:00:00Z,NaN
1986-05-01T00:00:00Z,2.09
1986-06-01T00:00:00Z,NaN
1986-07-01T00:00:00Z,NaN
1986-08-01T00:00:00Z,NaN
1986-09-01T00:00:00Z,1.53
1986-10-01T00:00:00Z,NaN
1986-11-01T00:00:00Z,2.66
1986-12-01T00:00:00Z,NaN
1987-01-01T00:00:00Z,NaN
1987-02-01T00:00:00Z,NaN
1987-03-01T00:00:00Z,2.77
1987-04-01T00:00:00Z,NaN
1987-05-01T00:00:00Z,2.81
1987-06-01T00:00:00Z,NaN
1987-07-01T00:00:00Z,NaN
1987-08-01T00:00:00Z,NaN
1987-09-01T00:00:00Z,3.19
1987-10-01T00:00:00Z,NaN
1987-11-01T00:00:00Z,2.87
1987-12-01T00:00:00Z,NaN
1988-01-01T00:00:00Z,2.74
1988-02-01T00:00:00Z,NaN
1988-03-01T00:00:00Z,NaN
1988-04-01T00:00:00Z,2.47
1988-05-01T00:00:00Z,NaN
1988-06-01T00:00:00Z,NaN
1988-07-01T00:00:00Z,NaN
1988-08-01T00:00:00Z,2.5
1988-09-01T00:00:00Z,NaN
1988-10-01T00:00:00Z,3.19
1988-11-01T00:00:00Z,NaN
1988-12-01T00:00:00Z,NaN
1989-01-01T00:00:00Z,2.95
1989-02-01T00:00:00Z,NaN
1989-03-01T00:00:00Z,NaN
1989-04-01T00:00:00Z,2.32
1989-05-01T00:00:00Z,NaN
1989-06-01T00:00:00Z,NaN
1989-07-01T00:00:00Z,1.64
1989-08-01T00:00:00Z,2.32
1989-09-01T00:00:00Z,NaN
1989-10-01T00:00:00Z,NaN
1989-11-01T00:00:00Z,3.16
1989-12-01T00:00:00Z,NaN
1990-01-01T00:00:00Z,NaN
1990-02-01T00:00:00Z,NaN
1990-03-01T00:00:00Z,2.33
1990-04-01T00:00:00Z,2.14
1990-05-01T00:00:00Z,NaN
1990-06-01T00:00:00Z,NaN
1990-07-01T00:00:00Z,2.92
1990-08-01T00:00:00Z,NaN
1990-09-01T00:00:00Z,NaN
1990-10-01T00:00:00Z,NaN
1990-11-01T00:00:00Z,3.22
1990-12-01T00:00:00Z,NaN
1991-01-01T00:00:00Z,2.64
1991-02-01T00:00:00Z,2.29
1991-03-01T00:00:00Z,NaN
1991-04-01T00:00:00Z,NaN
1991-05-01T00:00:00Z,NaN
1991-06-01T00:00:00Z,NaN
1991-07-01T00:00:00Z,2.89
1991-08-01T00:00:00Z,NaN
1991-09-01T00:00:00Z,2.92
1991-10-01T00:00:00Z,NaN
1991-11-01T00:00:00Z,NaN
1991-12-01T00:00:00Z,NaN
1992-01-01T00:00:00Z,3.05
1992-02-01T00:00:00Z,NaN
1992-03-01T00:00:00Z,NaN
1992-04-01T00:00:00Z,2.83
1992-05-01T00:00:00Z,NaN
1992-06-01T00:00:00Z,NaN
1992-07-01T00:00:00Z,1.68
1992-08-01T00:00:00Z,NaN
1992-09-01T00:00:00Z,3.15
1992-10-01T00:00:00Z,NaN
1992-11-01T00:00:00Z,NaN
1992-12-01T00:00:00Z,NaN
1993-01-01T00:00:00Z,3.39
1993-02-01T00:00:00Z,NaN
1993-03-01T00:00:00Z,2.55
1993-04-01T00:00:00Z,NaN
1993-05-01T00:00:00Z,NaN
1993-06-01T00:00:00Z,NaN
1993-07-01T00:00:00Z,NaN
1993-08-01T00:00:00Z,2.17
1993-09-01T00:00:00Z,NaN
1993-10-01T00:00:00Z,3.04
1993-11-01T00:00:00Z,NaN
1993-12-01T00:00:00Z,NaN
1994-01-01T00:00:00Z,3.2
1994-02-01T00:00:00Z,NaN
1994-03-01T00:00:00Z,2.87
1994-04-01T00:00:00Z,NaN
1994-05-01T00:00:00Z,NaN
1994-06-01T00:00:00Z,NaN
1994-07-01T00:00:00Z,NaN
1994-08-01T00:00:00Z,2.52
1994-09-01T00:00:00Z,NaN
1994-10-01T00:00:00Z,2.84
1994-11-01T00:00:00Z,NaN
1994-12-01T00:00:00Z,NaN
1995-01-01T00:00:00Z,2.36
1995-02-01T00:00:00Z,NaN
1995-03-01T00:00:00Z,NaN
1995-04-01T00:00:00Z,2.25
1995-05-01T00:00:00Z,NaN
1995-06-01T00:00:00Z,NaN
1995-07-01T00:00:00Z,1.44
1995-08-01T00:00:00Z,NaN
1995-09-01T00:00:00Z,NaN
1995-10-01T00:00:00Z,2.43
1995-11-01T00:00:00Z,NaN
1995-12-01T00:00:00Z,NaN
1996-01-01T00:00:00Z,1.99
1996-02-01T00:00:00Z,NaN
1996-03-01T00:00:00Z,NaN
1996-04-01T00:00:00Z,2.16
1996-05-01T00:00:00Z,NaN
1996-06-01T00:00:00Z,NaN
1996-07-01T00:00:00Z,NaN
1996-08-01T00:00:00Z,2.09
1996-09-01T00:00:00Z,NaN
1996-10-01T00:00:00Z,2.43
1996-11-01T00:00:00Z,NaN
1996-12-01T00:00:00Z,NaN
1997-01-01T00:00:00Z,2.19
1997-02-01T00:00:00Z,NaN
1997-03-01T00:00:00Z,NaN
1997-04-01T00:00:00Z,2.46
1997-05-01T00:00:00Z,NaN
1997-06-01T00:00:00Z,NaN
1997-07-01T00:00:00Z,1.3
1997-08-01T00:00:00Z,NaN
1997-09-01T00:00:00Z,2.79
1997-10-01T00:00:00Z,NaN
1997-11-01T00:00:00Z,NaN
1997-12-01T00:00:00Z,NaN
1998-01-01T00:00:00Z,2.41
1998-02-01T00:00:00Z,NaN
