time,dissolved_oxygen
UTC,ml/L
1984-02-01T00:00:00Z,4.82
1984-03-01T00:00:00Z,NaN
1984-04-01T00:00:00Z,3.96
1984-05-01T00:00:00Z,NaN
1984-06-01T00:00:00Z,3.08
1984-07-01T00:00:00Z,3.49
1984-08-01T00:00:00Z,NaN
1984-09-01T00:00:00Z,NaN
1984-10-01T00:00:00Z,3.11
1984-11-01T00:00:00Z,NaN
1984-12-01T00:00:00Z,NaN
1985-01-01T00:00:00Z,NaN
1985-02-01T00:00:00Z,4.665
1985-03-01T00:00:00Z,NaN
1985-04-01T00:00:00Z,NaN
1985-05-01T00:00:00Z,4.08
1985-06-01T00:00:00Z,NaN
1985-07-01T00:00:00Z,NaN
1985-08-01T00:00:00Z,4.22
1985-09-01T00:00:00Z,NaN
1985-10-01T00:00:00Z,NaN
1985-11-01T00:00:00Z,3.7
1985-12-01T00:00:00Z,NaN
1986-01-01T00:00:00Z,NaN
1986-02-01T00:00:00Z,3.83
1986-03-01T00:00:00Z,4.6
1986-04-01T00:00:00Z,NaN
1986-05-01T00:00:00Z,5.17
1986-06-01T00:00:00Z,NaN
1986-07-01T00:00:00Z,NaN
1986-08-01T00:00:00Z,NaN
1986-09-01T00:00:00Z,4.58
1986-10-01T00:00:00Z,NaN
1986-11-01T00:00:00Z,3.87
1986-12-01T00:00:00Z,NaN
1987-01-01T00:00:00Z,NaN
1987-02-01T00:00:00Z,NaN
1987-03-01T00:00:00Z,3.5
1987-04-01T00:00:00Z,NaN
1987-05-01T00:00:00Z,4.52
1987-06-01T00:00:00Z,NaN
1987-07-01T00:00:00Z,NaN
1987-08-01T00:00:00Z,NaN
1987-09-01T00:00:00Z,3.7
1987-10-01T00:00:00Z,NaN
1987-11-01T00:00:00Z,3.98
1987-12-01T00:00:00Z,NaN
1988-01-01T00:00:00Z,4.68
1988-02-01T00:00:00Z,NaN
1988-03-01T00:00:00Z,NaN
1988-04-01T00:00:00Z,NaN
1988-05-01T00:00:00Z,4.22
1988-06-01T00:00:00Z,NaN
1988-07-01T00:00:00Z,NaN
1988-08-01T00:00:00Z,4.87
1988-09-01T00:00:00Z,NaN
1988-10-01T00:00:00Z,4.0
1988-11-01T00:00:00Z,NaN
1988-12-01T00:00:00Z,NaN
1989-01-01T00:00:00Z,3.51
1989-02-01T00:00:00Z,NaN
1989-03-01T00:00:00Z,NaN
1989-04-01T00:00:00Z,3.3
1989-05-01T00:00:00Z,NaN
1989-06-01T00:00:00Z,NaN
1989-07-01T00:00:00Z,4.49
1989-08-01T00:00:00Z,NaN
1989-09-01T00:00:00Z,NaN
1989-10-01T00:00:00Z,NaN
1989-11-01T00:00:00Z,3.495
1989-12-01T00:00:00Z,NaN
1990-01-01T00:00:00Z,NaN
1990-02-01T00:00:00Z,NaN
1990-03-01T00:00:00Z,4.01
1990-04-01T00:00:00Z,3.36
1990-05-01T00:00:00Z,NaN
1990-06-01T00:00:00Z,NaN
1990-07-01T00:00:00Z,3.56
1990-08-01T00:00:00Z,NaN
1990-09-01T00:00:00Z,NaN
1990-10-01T00:00:00Z,NaN
1990-11-01T00:00:00Z,5.11
1990-12-01T00:00:00Z,NaN
1991-01-01T00:00:00Z,5.1
1991-02-01T00:00:00Z,NaN
1991-03-01T00:00:00Z,5.33
1991-04-01T00:00:00Z,NaN
1991-05-01T00:00:00Z,NaN
1991-06-01T00:00:00Z,NaN
1991-07-01T00:00:00Z,3.95
1991-08-01T00:00:00Z,NaN
1991-09-01T00:00:00Z,NaN
1991-10-01T00:00:00Z,3.58
1991-11-01T00:00:00Z,NaN
1991-12-01T00:00:00Z,NaN
1992-01-01T00:00:00Z,NaN
1992-02-01T00:00:00Z,4.51
1992-03-01T00:00:00Z,NaN
1992-04-01T00:00:00Z,4.07
1992-05-01T00:00:00Z,NaN
1992-06-01T00:00:00Z,NaN
1992-07-01T00:00:00Z,5.11
1992-08-01T00:00:00Z,NaN
1992-09-01T00:00:00Z,4.8
1992-10-01T00:00:00Z,NaN
1992-11-01T00:00:00Z,NaN
1992-12-01T00:00:00Z,NaN
1993-01-01T00:00:00Z,4.41
1993-02-01T00:00:00Z,NaN
1993-03-01T00:00:00Z,NaN
1993-04-01T00:00:00Z,4.34
1993-05-01T00:00:00Z,NaN
1993-06-01T00:00:00Z,NaN
1993-07-01T00:00:00Z,NaN
1993-08-01T00:00:00Z,4.05
1993-09-01T00:00:00Z,NaN
1993-10-01T00:00:00Z,4.98
1993-11-01T00:00:00Z,NaN
1993-12-01T00:00:00Z,NaN
1994-01-01T00:00:00Z,3.34
1994-02-01T00:00:00Z,NaN
1994-03-01T00:00:00Z,4.61
1994-04-01T00:00:00Z,NaN
1994-05-01T00:00:00Z,NaN
1994-06-01T00:00:00Z,NaN
1994-07-01T00:00:00Z,NaN
1994-08-01T00:00:00Z,3.84
1994-09-01T00:00:00Z,NaN
1994-10-01T00:00:00Z,4.05
1994-11-01T00:00:00Z,NaN
1994-12-01T00:00:00Z,NaN
1995-01-01T00:00:00Z,4.62
1995-02-01T00:00:00Z,NaN
1995-03-01T00:00:00Z,NaN
1995-04-01T00:00:00Z,4.34
1995-05-01T00:00:00Z,NaN
1995-06-01T00:00:00Z,NaN
1995-07-01T00:00:00Z,4.34
1995-08-01T00:00:00Z,NaN
1995-09-01T00:00:00Z,NaN
1995-10-01T00:00:00Z,3.13
1995-11-01T00:00:00Z,NaN
1995-12-01T00:00:00Z,NaN
1996-01-01T00:00:00Z,NaN
1996-02-01T00:00:00Z,4.33
1996-03-01T00:00:00Z,NaN
1996-04-01T00:00:00Z,5.01
1996-05-01T00:00:00Z,NaN
1996-06-01T00:00:00Z,NaN
1996-07-01T00:00:00Z,NaN
1996-08-01T00:00:00Z,3.15
1996-09-01T00:00:00Z,NaN
1996-10-01T00:00:00Z,4.34
1996-11-01T00:00:00Z,NaN
1996-12-01T00:00:00Z,NaN
