time,MEI
UTC,
1950-01-01T00:00:00Z,-1.03
1950-02-01T00:00:00Z,-1.133
1950-03-01T00:00:00Z,-1.283
1950-04-01T00:00:00Z,-1.071
1950-05-01T00:00:00Z,-1.434
1950-06-01T00:00:00Z,-1.412
1950-07-01T00:00:00Z,-1.269
1950-08-01T00:00:00Z,-1.042
1950-09-01T00:00:00Z,-0.597
1950-10-01T00:00:00Z,-0.406
1950-11-01T00:00:00Z,-1.138
1950-12-01T00:00:00Z,-1.235
1951-01-01T00:00:00Z,-1.049
1951-02-01T00:00:00Z,-1.152
1951-03-01T00:00:00Z,-1.178
1951-04-01T00:00:00Z,-0.511
1951-05-01T00:00:00Z,-0.374
1951-06-01T00:00:00Z,0.288
1951-07-01T00:00:00Z,0.679
1951-08-01T00:00:00Z,0.818
1951-09-01T00:00:00Z,0.773
1951-10-01T00:00:00Z,0.768
1951-11-01T00:00:00Z,0.726
1951-12-01T00:00:00Z,0.504
1952-01-01T00:00:00Z,0.433
1952-02-01T00:00:00Z,0.138
1952-03-01T00:00:00Z,0.071
1952-04-01T00:00:00Z,0.224
1952-05-01T00:00:00Z,-0.307
1952-06-01T00:00:00Z,-0.756
1952-07-01T00:00:00Z,-0.305
1952-08-01T00:00:00Z,-0.374
1952-09-01T00:00:00Z,0.347
1952-10-01T00:00:00Z,0.306
1952-11-01T00:00:00Z,-0.328
1952-12-01T00:00:00Z,-0.098
1953-01-01T00:00:00Z,0.044
1953-02-01T00:00:00Z,0.401
1953-03-01T00:00:00Z,0.277
1953-04-01T00:00:00Z,0.687
1953-05-01T00:00:00Z,0.756
1953-06-01T00:00:00Z,0.191
1953-07-01T00:00:00Z,0.382
1953-08-01T00:00:00Z,0.209
1953-09-01T00:00:00Z,0.527
1953-10-01T00:00:00Z,0.124
1953-11-01T00:00:00Z,0.099
1953-12-01T00:00:00Z,0.351
1954-01-01T00:00:00Z,-0.036
1954-02-01T00:00:00Z,-0.027
1954-03-01T00:00:00Z,0.154
1954-04-01T00:00:00Z,-0.616
1954-05-01T00:00:00Z,-1.465
1954-06-01T00:00:00Z,-1.558
1954-07-01T00:00:00Z,-1.355
1954-08-01T00:00:00Z,-1.456
1954-09-01T00:00:00Z,-1.138
1954-10-01T00:00:00Z,-1.32
1954-11-01T00:00:00Z,-1.113
1954-12-01T00:00:00Z,-1.088
1955-01-01T00:00:00Z,-0.74
1955-02-01T00:00:00Z,-0.669
1955-03-01T00:00:00Z,-1.117
1955-04-01T00:00:00Z,-1.621
1955-05-01T00:00:00Z,-1.653
1955-06-01T00:00:00Z,-2.247
1955-07-01T00:00:00Z,-1.976
1955-08-01T00:00:00Z,-2.05
1955-09-01T00:00:00Z,-1.803
1955-10-01T00:00:00Z,-1.725
1955-11-01T00:00:00Z,-1.813
1955-12-01T00:00:00Z,-1.846
1956-01-01T00:00:00Z,-1.408
1956-02-01T00:00:00Z,-1.275
1956-03-01T00:00:00Z,-1.371
1956-04-01T00:00:00Z,-1.216
1956-05-01T00:00:00Z,-1.304
1956-06-01T00:00:00Z,-1.523
1956-07-01T00:00:00Z,-1.244
1956-08-01T00:00:00Z,-1.118
1956-09-01T00:00:00Z,-1.327
1956-10-01T00:00:00Z,-1.461
1956-11-01T00:00:00Z,-1.014
1956-12-01T00:00:00Z,-0.993
1957-01-01T00:00:00Z,-0.915
1957-02-01T00:00:00Z,-0.348
1957-03-01T00:00:00Z,0.108
1957-04-01T00:00:00Z,0.383
1957-05-01T00:00:00Z,0.813
1957-06-01T00:00:00Z,0.73
1957-07-01T00:00:00Z,0.926
1957-08-01T00:00:00Z,1.132
1957-09-01T00:00:00Z,1.158
1957-10-01T00:00:00Z,1.114
1957-11-01T00:00:00Z,1.167
1957-12-01T00:00:00Z,1.268
1958-01-01T00:00:00Z,1.473
1958-02-01T00:00:00Z,1.454
1958-03-01T00:00:00Z,1.313
1958-04-01T00:00:00Z,0.991
1958-05-01T00:00:00Z,0.673
1958-06-01T00:00:00Z,0.812
1958-07-01T00:00:00Z,0.7
1958-08-01T00:00:00Z,0.421
1958-09-01T00:00:00Z,0.209
1958-10-01T00:00:00Z,0.237
1958-11-01T00:00:00Z,0.501
1958-12-01T00:00:00Z,0.691
1959-01-01T00:00:00Z,0.553
1959-02-01T00:00:00Z,0.81
1959-03-01T00:00:00Z,0.502
1959-04-01T00:00:00Z,0.202
1959-05-01T00:00:00Z,-0.025
1959-06-01T00:00:00Z,-0.062
1959-07-01T00:00:00Z,-0.112
1959-08-01T00:00:00Z,0.111
1959-09-01T00:00:00Z,0.126
1959-10-01T00:00:00Z,-0.038
1959-11-01T00:00:00Z,-0.151
1959-12-01T00:00:00Z,-0.247
1960-01-01T00:00:00Z,-0.287
1960-02-01T00:00:00Z,-0.253
1960-03-01T00:00:00Z,-0.082
1960-04-01T00:00:00Z,0.007
1960-05-01T00:00:00Z,-0.322
1960-06-01T00:00:00Z,-0.287
1960-07-01T00:00:00Z,-0.318
1960-08-01T00:00:00Z,-0.25
1960-09-01T00:00:00Z,-0.439
1960-10-01T00:00:00Z,-0.332
1960-11-01T00:00:00Z,-0.308
1960-12-01T00:00:00Z,-0.39
1961-01-01T00:00:00Z,-0.15
1961-02-01T00:00:00Z,-0.235
1961-03-01T00:00:00Z,-0.073
1961-04-01T00:00:00Z,0.017
1961-05-01T00:00:00Z,-0.302
1961-06-01T00:00:00Z,-0.185
1961-07-01T00:00:00Z,-0.208
1961-08-01T00:00:00Z,-0.3
1961-09-01T00:00:00Z,-0.271
1961-10-01T00:00:00Z,-0.51
1961-11-01T00:00:00Z,-0.416
1961-12-01T00:00:00Z,-0.608
1962-01-01T00:00:00Z,-1.065
1962-02-01T00:00:00Z,-0.963
1962-03-01T00:00:00Z,-0.692
1962-04-01T00:00:00Z,-1.04
1962-05-01T00:00:00Z,-0.89
1962-06-01T00:00:00Z,-0.87
1962-07-01T00:00:00Z,-0.683
1962-08-01T00:00:00Z,-0.538
1962-09-01T00:00:00Z,-0.528
1962-10-01T00:00:00Z,-0.642
1962-11-01T00:00:00Z,-0.598
1962-12-01T00:00:00Z,-0.482
1963-01-01T00:00:00Z,-0.718
1963-02-01T00:00:00Z,-0.837
1963-03-01T00:00:00Z,-0.675
1963-04-01T00:00:00Z,-0.761
1963-05-01T00:00:00Z,-0.473
1963-06-01T00:00:00Z,-0.144
1963-07-01T00:00:00Z,0.404
1963-08-01T00:00:00Z,0.59
1963-09-01T00:00:00Z,0.778
1963-10-01T00:00:00Z,0.848
1963-11-01T00:00:00Z,0.866
1963-12-01T00:00:00Z,0.765
1964-01-01T00:00:00Z,0.878
1964-02-01T00:00:00Z,0.481
1964-03-01T00:00:00Z,-0.256
1964-04-01T00:00:00Z,-0.545
1964-05-01T00:00:00Z,-1.234
1964-06-01T00:00:00Z,-1.15
1964-07-01T00:00:00Z,-1.384
1964-08-01T00:00:00Z,-1.486
1964-09-01T00:00:00Z,-1.284
1964-10-01T00:00:00Z,-1.196
1964-11-01T00:00:00Z,-1.211
1964-12-01T00:00:00Z,-0.907
1965-01-01T00:00:00Z,-0.536
1965-02-01T00:00:00Z,-0.329
1965-03-01T00:00:00Z,-0.259
1965-04-01T00:00:00Z,0.086
1965-05-01T00:00:00Z,0.464
1965-06-01T00:00:00Z,0.867
1965-07-01T00:00:00Z,1.367
1965-08-01T00:00:00Z,1.425
1965-09-01T00:00:00Z,1.43
1965-10-01T00:00:00Z,1.25
1965-11-01T00:00:00Z,1.378
1965-12-01T00:00:00Z,1.27
1966-01-01T00:00:00Z,1.307
1966-02-01T00:00:00Z,1.186
1966-03-01T00:00:00Z,0.689
1966-04-01T00:00:00Z,0.515
1966-05-01T00:00:00Z,-0.178
1966-06-01T00:00:00Z,-0.193
1966-07-01T00:00:00Z,-0.116
1966-08-01T00:00:00Z,0.152
1966-09-01T00:00:00Z,-0.06
1966-10-01T00:00:00Z,-0.018
1966-11-01T00:00:00Z,0.022
1966-12-01T00:00:00Z,-0.181
1967-01-01T00:00:00Z,-0.462
1967-02-01T00:00:00Z,-0.898
1967-03-01T00:00:00Z,-1.05
1967-04-01T00:00:00Z,-1.03
1967-05-01T00:00:00Z,-0.448
1967-06-01T00:00:00Z,-0.236
1967-07-01T00:00:00Z,-0.492
1967-08-01T00:00:00Z,-0.391
1967-09-01T00:00:00Z,-0.601
1967-10-01T00:00:00Z,-0.655
1967-11-01T00:00:00Z,-0.407
1967-12-01T00:00:00Z,-0.357
1968-01-01T00:00:00Z,-0.602
1968-02-01T00:00:00Z,-0.727
1968-03-01T00:00:00Z,-0.635
1968-04-01T00:00:00Z,-0.944
1968-05-01T00:00:00Z,-1.093
1968-06-01T00:00:00Z,-0.812
1968-07-01T00:00:00Z,-0.503
1968-08-01T00:00:00Z,-0.104
1968-09-01T00:00:00Z,0.244
1968-10-01T00:00:00Z,0.46
1968-11-01T00:00:00Z,0.607
1968-12-01T00:00:00Z,0.367
1969-01-01T00:00:00Z,0.67
1969-02-01T00:00:00Z,0.849
1969-03-01T00:00:00Z,0.458
1969-04-01T00:00:00Z,0.622
1969-05-01T00:00:00Z,0.674
1969-06-01T00:00:00Z,0.801
1969-07-01T00:00:00Z,0.49
1969-08-01T00:00:00Z,0.212
1969-09-01T00:00:00Z,0.2
1969-10-01T00:00:00Z,0.537
1969-11-01T00:00:00Z,0.683
1969-12-01T00:00:00Z,0.417
1970-01-01T00:00:00Z,0.38
1970-02-01T00:00:00Z,0.432
1970-03-01T00:00:00Z,0.228
1970-04-01T00:00:00Z,0.014
1970-05-01T00:00:00Z,-0.099
1970-06-01T00:00:00Z,-0.636
1970-07-01T00:00:00Z,-1.055
1970-08-01T00:00:00Z,-1.007
1970-09-01T00:00:00Z,-1.226
1970-10-01T00:00:00Z,-1.068
1970-11-01T00:00:00Z,-1.063
1970-12-01T00:00:00Z,-1.203
1971-01-01T00:00:00Z,-1.204
1971-02-01T00:00:00Z,-1.507
1971-03-01T00:00:00Z,-1.79
1971-04-01T00:00:00Z,-1.839
1971-05-01T00:00:00Z,-1.429
1971-06-01T00:00:00Z,-1.42
1971-07-01T00:00:00Z,-1.207
1971-08-01T00:00:00Z,-1.213
1971-09-01T00:00:00Z,-1.439
1971-10-01T00:00:00Z,-1.399
1971-11-01T00:00:00Z,-1.301
1971-12-01T00:00:00Z,-0.969
1972-01-01T00:00:00Z,-0.575
1972-02-01T00:00:00Z,-0.398
1972-03-01T00:00:00Z,-0.256
1972-04-01T00:00:00Z,-0.166
1972-05-01T00:00:00Z,0.423
1972-06-01T00:00:00Z,0.966
1972-07-01T00:00:00Z,1.826
1972-08-01T00:00:00Z,1.8
1972-09-01T00:00:00Z,1.574
1972-10-01T00:00:00Z,1.667
1972-11-01T00:00:00Z,1.74
1972-12-01T00:00:00Z,1.787
1973-01-01T00:00:00Z,1.723
1973-02-01T00:00:00Z,1.515
1973-03-01T00:00:00Z,0.87
1973-04-01T00:00:00Z,0.491
1973-05-01T00:00:00Z,-0.099
1973-06-01T00:00:00Z,-0.758
1973-07-01T00:00:00Z,-1.056
1973-08-01T00:00:00Z,-1.334
1973-09-01T00:00:00Z,-1.712
1973-10-01T00:00:00Z,-1.65
1973-11-01T00:00:00Z,-1.482
1973-12-01T00:00:00Z,-1.826
1974-01-01T00:00:00Z,-1.912
1974-02-01T00:00:00Z,-1.768
1974-03-01T00:00:00Z,-1.743
1974-04-01T00:00:00Z,-1.62
1974-05-01T00:00:00Z,-1.048
1974-06-01T00:00:00Z,-0.694
1974-07-01T00:00:00Z,-0.75
1974-08-01T00:00:00Z,-0.664
1974-09-01T00:00:00Z,-0.599
1974-10-01T00:00:00Z,-1.031
1974-11-01T00:00:00Z,-1.23
1974-12-01T00:00:00Z,-0.886
1975-01-01T00:00:00Z,-0.522
1975-02-01T00:00:00Z,-0.576
1975-03-01T00:00:00Z,-0.85
1975-04-01T00:00:00Z,-0.927
1975-05-01T00:00:00Z,-0.838
1975-06-01T00:00:00Z,-1.148
1975-07-01T00:00:00Z,-1.497
1975-08-01T00:00:00Z,-1.712
1975-09-01T00:00:00Z,-1.853
1975-10-01T00:00:00Z,-1.968
1975-11-01T00:00:00Z,-1.748
1975-12-01T00:00:00Z,-1.732
1976-01-01T00:00:00Z,-1.587
1976-02-01T00:00:00Z,-1.366
1976-03-01T00:00:00Z,-1.213
1976-04-01T00:00:00Z,-1.157
1976-05-01T00:00:00Z,-0.483
1976-06-01T00:00:00Z,0.276
1976-07-01T00:00:00Z,0.633
1976-08-01T00:00:00Z,0.654
1976-09-01T00:00:00Z,1.064
1976-10-01T00:00:00Z,0.978
1976-11-01T00:00:00Z,0.511
1976-12-01T00:00:00Z,0.565
1977-01-01T00:00:00Z,0.529
1977-02-01T00:00:00Z,0.29
1977-03-01T00:00:00Z,0.145
1977-04-01T00:00:00Z,0.552
1977-05-01T00:00:00Z,0.31
1977-06-01T00:00:00Z,0.414
1977-07-01T00:00:00Z,0.888
1977-08-01T00:00:00Z,0.684
1977-09-01T00:00:00Z,0.824
1977-10-01T00:00:00Z,1.016
1977-11-01T00:00:00Z,0.99
