time,SST
UTC,degree_C
1981-04-01T00:00:00Z,9.853
1981-05-01T00:00:00Z,10.194
1981-06-01T00:00:00Z,10.321
1981-07-01T00:00:00Z,10.739
1981-08-01T00:00:00Z,12.208
1981-09-01T00:00:00Z,12.626
1981-10-01T00:00:00Z,14.867
1981-11-01T00:00:00Z,14.198
1981-12-01T00:00:00Z,13.005
1982-01-01T00:00:00Z,11.828
1982-02-01T00:00:00Z,12.0
1982-03-01T00:00:00Z,11.82
1982-04-01T00:00:00Z,11.909
1982-05-01T00:00:00Z,10.039
1982-06-01T00:00:00Z,11.871
1982-07-01T00:00:00Z,12.691
1982-08-01T00:00:00Z,12.77
1982-09-01T00:00:00Z,13.841
1982-10-01T00:00:00Z,14.987
1982-11-01T00:00:00Z,14.466
1982-12-01T00:00:00Z,13.582
1983-01-01T00:00:00Z,13.221
1983-02-01T00:00:00Z,13.489
1983-03-01T00:00:00Z,13.322
1983-04-01T00:00:00Z,12.517
1983-05-01T00:00:00Z,12.103
1983-06-01T00:00:00Z,12.296
1983-07-01T00:00:00Z,13.046
1983-08-01T00:00:00Z,13.984
1983-09-01T00:00:00Z,15.191
1983-10-01T00:00:00Z,15.235
1983-11-01T00:00:00Z,14.795
1983-12-01T00:00:00Z,12.914
1984-01-01T00:00:00Z,12.349
1984-02-01T00:00:00Z,11.89
1984-03-01T00:00:00Z,11.696
1984-04-01T00:00:00Z,10.258
1984-05-01T00:00:00Z,11.955
1984-06-01T00:00:00Z,10.393
1984-07-01T00:00:00Z,12.189
1984-08-01T00:00:00Z,12.66
1984-09-01T00:00:00Z,13.048
1984-10-01T00:00:00Z,12.909
1984-11-01T00:00:00Z,12.589
1984-12-01T00:00:00Z,11.877
1985-01-01T00:00:00Z,11.662
1985-02-01T00:00:00Z,10.687
1985-03-01T00:00:00Z,9.757
1985-04-01T00:00:00Z,10.084
1985-05-01T00:00:00Z,10.651
1985-06-01T00:00:00Z,11.609
1985-07-01T00:00:00Z,11.84
1985-09-01T00:00:00Z,13.288
1985-10-01T00:00:00Z,12.257
1985-11-01T00:00:00Z,10.735
1985-12-01T00:00:00Z,11.757
1986-01-01T00:00:00Z,11.597
1986-02-01T00:00:00Z,12.024
1986-03-01T00:00:00Z,12.345
1986-04-01T00:00:00Z,9.985
1986-05-01T00:00:00Z,10.137
1986-06-01T00:00:00Z,11.843
1986-07-01T00:00:00Z,11.323
1986-08-01T00:00:00Z,12.294
1986-09-01T00:00:00Z,13.536
1986-10-01T00:00:00Z,13.009
1986-11-01T00:00:00Z,12.702
1986-12-01T00:00:00Z,12.807
1987-01-01T00:00:00Z,12.22
1987-02-01T00:00:00Z,11.849
1987-03-01T00:00:00Z,11.321
1987-04-01T00:00:00Z,11.119
1987-05-01T00:00:00Z,11.777
1987-06-01T00:00:00Z,11.515
1987-07-01T00:00:00Z,12.778
1987-08-01T00:00:00Z,12.78
1987-09-01T00:00:00Z,13.357
1987-10-01T00:00:00Z,14.741
1987-11-01T00:00:00Z,13.946
1987-12-01T00:00:00Z,12.469
1988-01-01T00:00:00Z,11.366
1988-02-01T00:00:00Z,11.055
1988-03-01T00:00:00Z,10.969
1988-04-01T00:00:00Z,10.902
1988-05-01T00:00:00Z,11.456
1988-06-01T00:00:00Z,11.491
1988-07-01T00:00:00Z,11.133
1988-08-01T00:00:00Z,12.722
1988-09-01T00:00:00Z,12.426
1989-01-01T00:00:00Z,9.904
1989-02-01T00:00:00Z,10.164
1989-03-01T00:00:00Z,10.627
1989-04-01T00:00:00Z,11.842
1989-06-01T00:00:00Z,11.451
1989-07-01T00:00:00Z,10.856
1989-08-01T00:00:00Z,11.614
1989-09-01T00:00:00Z,12.595
1989-10-01T00:00:00Z,12.398
1989-11-01T00:00:00Z,12.224
1989-12-01T00:00:00Z,12.579
1990-01-01T00:00:00Z,11.525
1990-02-01T00:00:00Z,10.814
1990-03-01T00:00:00Z,10.639
1990-04-01T00:00:00Z,11.022
1990-05-01T00:00:00Z,10.834
1990-06-01T00:00:00Z,11.429
1990-07-01T00:00:00Z,12.9
1990-08-01T00:00:00Z,12.807
1990-09-01T00:00:00Z,15.364
1990-10-01T00:00:00Z,11.981
1990-11-01T00:00:00Z,11.96
1990-12-01T00:00:00Z,10.878
1991-01-01T00:00:00Z,10.65
1991-02-01T00:00:00Z,11.367
1991-03-01T00:00:00Z,10.806
1991-04-01T00:00:00Z,10.446
1991-05-01T00:00:00Z,9.567
1991-06-01T00:00:00Z,9.919
1991-07-01T00:00:00Z,11.878
1991-08-01T00:00:00Z,13.986
1991-09-01T00:00:00Z,13.459
1991-12-01T00:00:00Z,11.654
1992-01-01T00:00:00Z,12.08
1992-06-01T00:00:00Z,14.537
1992-07-01T00:00:00Z,13.689
1992-08-01T00:00:00Z,12.738
1992-09-01T00:00:00Z,13.36
1992-10-01T00:00:00Z,14.57
1992-11-01T00:00:00Z,13.04
1992-12-01T00:00:00Z,12.34
1993-01-01T00:00:00Z,11.791
1993-05-01T00:00:00Z,14.04
1993-06-01T00:00:00Z,11.787
1993-07-01T00:00:00Z,10.837
1993-08-01T00:00:00Z,12.751
1993-09-01T00:00:00Z,12.747
1993-10-01T00:00:00Z,12.795
1993-11-01T00:00:00Z,12.481
1993-12-01T00:00:00Z,12.348
1994-01-01T00:00:00Z,12.182
1994-02-01T00:00:00Z,12.045
1994-03-01T00:00:00Z,11.863
1994-04-01T00:00:00Z,10.916
1994-05-01T00:00:00Z,10.588
1994-06-01T00:00:00Z,10.475
1994-07-01T00:00:00Z,10.951
1994-08-01T00:00:00Z,11.453
1994-09-01T00:00:00Z,13.543
1994-10-01T00:00:00Z,12.428
1994-11-01T00:00:00Z,11.218
1994-12-01T00:00:00Z,11.241
1995-01-01T00:00:00Z,11.597
1995-02-01T00:00:00Z,12.176
1995-03-01T00:00:00Z,12.414
1995-04-01T00:00:00Z,11.468
1995-05-01T00:00:00Z,10.549
1995-06-01T00:00:00Z,9.752
1995-08-01T00:00:00Z,12.365
1995-09-01T00:00:00Z,13.63
1995-10-01T00:00:00Z,12.471
1995-11-01T00:00:00Z,13.486
1995-12-01T00:00:00Z,13.727
1996-01-01T00:00:00Z,12.963
1996-02-01T00:00:00Z,13.066
1996-03-01T00:00:00Z,11.784
1996-04-01T00:00:00Z,11.919
1996-05-01T00:00:00Z,10.908
1996-06-01T00:00:00Z,10.064
1996-07-01T00:00:00Z,12.167
1996-08-01T00:00:00Z,11.926
1996-09-01T00:00:00Z,12.74
1996-10-01T00:00:00Z,13.08
1996-11-01T00:00:00Z,12.446
1996-12-01T00:00:00Z,12.746
1997-01-01T00:00:00Z,11.984
1997-02-01T00:00:00Z,11.477
1997-03-01T00:00:00Z,10.518
1997-04-01T00:00:00Z,10.972
1997-05-01T00:00:00Z,13.717
1997-06-01T00:00:00Z,12.53
1997-07-01T00:00:00Z,12.257
1997-08-01T00:00:00Z,15.243
1997-09-01T00:00:00Z,15.39
1997-10-01T00:00:00Z,13.618
1997-11-01T00:00:00Z,15.484
1997-12-01T00:00:00Z,14.597
1998-01-01T00:00:00Z,14.157
1998-02-01T00:00:00Z,13.625
1998-03-01T00:00:00Z,12.471
1998-04-01T00:00:00Z,11.539
1998-05-01T00:00:00Z,12.464
1998-06-01T00:00:00Z,12.451
1998-07-01T00:00:00Z,12.475
1998-08-01T00:00:00Z,11.925
1998-09-01T00:00:00Z,12.848
1998-10-01T00:00:00Z,13.065
1998-11-01T00:00:00Z,12.542
1999-10-01T00:00:00Z,11.982
1999-11-01T00:00:00Z,12.62
1999-12-01T00:00:00Z,11.502
2000-01-01T00:00:00Z,10.714
2000-02-01T00:00:00Z,11.356
2000-03-01T00:00:00Z,10.299
2000-04-01T00:00:00Z,11.082
2000-05-01T00:00:00Z,11.07
2000-06-01T00:00:00Z,11.615
2000-07-01T00:00:00Z,11.158
2000-08-01T00:00:00Z,10.842
2000-09-01T00:00:00Z,13.025
2000-10-01T00:00:00Z,12.176
2000-11-01T00:00:00Z,11.828
2000-12-01T00:00:00Z,12.195
2001-01-01T00:00:00Z,11.205
2001-02-01T00:00:00Z,10.014
2001-03-01T00:00:00Z,10.546
2001-04-01T00:00:00Z,9.921
2001-05-01T00:00:00Z,10.34
2001-06-01T00:00:00Z,10.529
2001-07-01T00:00:00Z,10.629
2001-08-01T00:00:00Z,12.296
