year,value,timeseries
1997,18.986,CA sea lion pup production
1998,9.154,CA sea lion pup production
1999,19.577,CA sea lion pup production
2000,19.161,CA sea lion pup production
2001,19.019,CA sea lion pup production
2002,20.826,CA sea lion pup production
2003,16.302,CA sea lion pup production
2004,18.212,CA sea lion pup production
2005,20.372,CA sea lion pup production
2006,19.695,CA sea lion pup production
2007,24.126,CA sea lion pup production
2008,24.718,CA sea lion pup production
2009,12.018,CA sea lion pup production
2010,14.258,CA sea lion pup production
2011,26.002,CA sea lion pup production
2012,24.993,CA sea lion pup production
2013,18.375,CA sea lion pup production
2014,22.362,CA sea lion pup production
1996,-0.365420705,Copepod anomaly summer
1997,-0.432130038,Copepod anomaly summer
1998,-0.769609038,Copepod anomaly summer
1999,0.030983517,Copepod anomaly summer
2000,0.136358629,Copepod anomaly summer
2001,0.134981517,Copepod anomaly summer
2002,0.273022906,Copepod anomaly summer
2003,-0.143922371,Copepod anomaly summer
2004,0.042043184,Copepod anomaly summer
2005,-0.857331816,Copepod anomaly summer
2006,-0.020767816,Copepod anomaly summer
2007,0.124177629,Copepod anomaly summer
2008,0.244696518,Copepod anomaly summer
2009,0.140055962,Copepod anomaly summer
2010,0.15070874,Copepod anomaly summer
2011,0.421694184,Copepod anomaly summer
2012,0.380402629,Copepod anomaly summer
2013,0.262477073,Copepod anomaly summer
2014,0.247579295,Copepod anomaly summer
1996,0.8093,NOI summer
1997,-2.3207,NOI summer
1998,1.262,NOI summer
1999,-0.6877,NOI summer
2000,0.193,NOI summer
2001,0.6437,NOI summer
2002,-0.5843,NOI summer
2003,-0.613,NOI summer
2004,-0.4273,NOI summer
2005,0.025,NOI summer
2006,-0.513,NOI summer
2007,0.0273,NOI summer
2008,-0.517,NOI summer
2009,-0.814,NOI summer
2010,1.0523,NOI summer
2011,-0.0973,NOI summer
2012,0.2397,NOI summer
2013,0.1113,NOI summer
2014,-0.664333333,NOI summer
1996,-0.9469,NPGO winter
1997,-1.1238,NPGO winter
1998,1.1071,NPGO winter
1999,1.7871,NPGO winter
2000,1.8924,NPGO winter
2001,2.7356,NPGO winter
2002,1.9799,NPGO winter
2003,1.4842,NPGO winter
2004,0.4384,NPGO winter
2005,-1.404,NPGO winter
2006,-0.6106,NPGO winter
2007,-0.2386,NPGO winter
2008,1.1664,NPGO winter
2009,0.6912,NPGO winter
2010,1.9904,NPGO winter
2011,0.7541,NPGO winter
2012,1.0859,NPGO winter
2013,1.1245,NPGO winter
2014,-0.3703,NPGO winter
