time,species_richness
UTC,
2003-01-01T00:00:00Z,31.844467
2004-01-01T00:00:00Z,32.624172
2005-01-01T00:00:00Z,33.576115
2006-01-01T00:00:00Z,35.391285
2007-01-01T00:00:00Z,35.279217
2008-01-01T00:00:00Z,35.162136
2009-01-01T00:00:00Z,36.97578
2010-01-01T00:00:00Z,36.76255
2011-01-01T00:00:00Z,35.729042
2012-01-01T00:00:00Z,33.230637
2013-01-01T00:00:00Z,33.027905
2014-01-01T00:00:00Z,34.615135
2015-01-01T00:00:00Z,37.257847
2016-01-01T00:00:00Z,34.156624
2017-01-01T00:00:00Z,34.914543
