time,mean_density
UTC,Linear density (Log10(no. km-1+ 1)).
1999-01-01T00:00:00Z,0.0779
2000-01-01T00:00:00Z,0.3317
2001-01-01T00:00:00Z,0.5955
2002-01-01T00:00:00Z,0.9999
2003-01-01T00:00:00Z,0.6785
2004-01-01T00:00:00Z,1.0514
2005-01-01T00:00:00Z,0.4967
2006-01-01T00:00:00Z,0.6724
2007-01-01T00:00:00Z,0.4146
2008-01-01T00:00:00Z,0.706
2009-01-01T00:00:00Z,0.5242
2010-01-01T00:00:00Z,0.4279
2011-01-01T00:00:00Z,0.422
2012-01-01T00:00:00Z,0.2742
2013-01-01T00:00:00Z,0.6057
2014-01-01T00:00:00Z,0.5705
2015-01-01T00:00:00Z,0.0681
2016-01-01T00:00:00Z,0.1456
2017-01-01T00:00:00Z,0.3838
2018-01-01T00:00:00Z,0.6396
