time,demoic_acid_concentration
UTC,ppm
1991-11-15T00:00:00Z,42
1991-11-15T00:00:00Z,100
1992-01-15T00:00:00Z,30
1992-02-15T00:00:00Z,63
1992-03-15T00:00:00Z,66
1992-04-15T00:00:00Z,37
1992-05-15T00:00:00Z,11
1992-06-15T00:00:00Z,11
1992-06-15T00:00:00Z,5
1992-08-15T00:00:00Z,8
1992-08-15T00:00:00Z,11
1992-09-15T00:00:00Z,16
1992-09-15T00:00:00Z,22
1992-10-15T00:00:00Z,11
1992-10-15T00:00:00Z,25
1992-11-15T00:00:00Z,11
1992-11-15T00:00:00Z,20
1992-12-15T00:00:00Z,4
1993-01-15T00:00:00Z,13
1993-02-15T00:00:00Z,2
1993-02-15T00:00:00Z,14
1993-03-15T00:00:00Z,12
1993-03-15T00:00:00Z,6
1993-04-15T00:00:00Z,17
1993-04-15T00:00:00Z,15
1993-05-15T00:00:00Z,3
1993-05-15T00:00:00Z,5
1993-06-15T00:00:00Z,5
1993-06-15T00:00:00Z,6
1993-07-15T00:00:00Z,2
1993-08-15T00:00:00Z,0
1993-09-15T00:00:00Z,1
1993-09-15T00:00:00Z,2
1993-10-15T00:00:00Z,1
1993-11-15T00:00:00Z,23
1993-12-15T00:00:00Z,17
1994-01-15T00:00:00Z,9
1994-01-15T00:00:00Z,16
1994-02-15T00:00:00Z,22
1994-02-15T00:00:00Z,20
1994-03-15T00:00:00Z,22
1994-03-15T00:00:00Z,23
1994-04-15T00:00:00Z,8
1994-04-15T00:00:00Z,10
1994-05-15T00:00:00Z,8
1994-05-15T00:00:00Z,6
1994-06-15T00:00:00Z,4
1994-07-15T00:00:00Z,2
1994-08-15T00:00:00Z,2
1994-09-15T00:00:00Z,5
1994-09-15T00:00:00Z,6
1994-10-15T00:00:00Z,7
1994-10-15T00:00:00Z,10
1994-11-15T00:00:00Z,5
1994-11-15T00:00:00Z,5
1994-12-15T00:00:00Z,5
1995-01-15T00:00:00Z,2
1995-02-15T00:00:00Z,3
1995-02-15T00:00:00Z,3
1995-03-15T00:00:00Z,6
1995-03-15T00:00:00Z,4
1995-04-15T00:00:00Z,9
1995-04-15T00:00:00Z,9
1995-05-15T00:00:00Z,10
1995-05-15T00:00:00Z,14
1995-06-15T00:00:00Z,5
1995-07-15T00:00:00Z,4
1995-08-15T00:00:00Z,2
1995-09-15T00:00:00Z,4
1995-09-15T00:00:00Z,5
1995-10-15T00:00:00Z,3
1995-10-15T00:00:00Z,4
1995-11-15T00:00:00Z,5
1995-11-15T00:00:00Z,4
1995-12-15T00:00:00Z,2
1996-01-15T00:00:00Z,3
1996-02-15T00:00:00Z,1
1996-02-15T00:00:00Z,3
1996-03-15T00:00:00Z,3
1996-03-15T00:00:00Z,3
1996-04-15T00:00:00Z,4
1996-04-15T00:00:00Z,6
1996-05-15T00:00:00Z,1
1996-05-15T00:00:00Z,2
1996-06-15T00:00:00Z,3
1996-07-15T00:00:00Z,2
1996-08-15T00:00:00Z,3
1996-09-15T00:00:00Z,3
1996-09-15T00:00:00Z,3
1996-10-15T00:00:00Z,2
1996-10-15T00:00:00Z,3
1996-11-15T00:00:00Z,0
1996-12-15T00:00:00Z,2
1997-01-15T00:00:00Z,1
1997-02-15T00:00:00Z,2
1997-03-15T00:00:00Z,1
1997-04-15T00:00:00Z,1
1997-04-15T00:00:00Z,1
1998-07-15T00:00:00Z,9
1998-08-15T00:00:00Z,8
1998-09-15T00:00:00Z,47
1998-10-15T00:00:00Z,108
1998-11-15T00:00:00Z,100
1998-12-15T00:00:00Z,51
1999-01-15T00:00:00Z,48
1999-02-15T00:00:00Z,52
1999-03-15T00:00:00Z,48
1999-04-15T00:00:00Z,36
1999-05-15T00:00:00Z,22
1999-06-15T00:00:00Z,10
1999-07-15T00:00:00Z,9
1999-08-15T00:00:00Z,21
1999-09-15T00:00:00Z,13
1999-10-15T00:00:00Z,22
1999-10-15T00:00:00Z,17
1999-11-15T00:00:00Z,13
1999-11-15T00:00:00Z,16
1999-12-15T00:00:00Z,7
1999-12-15T00:00:00Z,10
2000-01-15T00:00:00Z,7
2000-01-15T00:00:00Z,10
2000-02-15T00:00:00Z,5
2000-02-15T00:00:00Z,19
2000-03-15T00:00:00Z,2
2000-03-15T00:00:00Z,4
2000-04-15T00:00:00Z,3
2000-04-15T00:00:00Z,11
2000-06-15T00:00:00Z,10
2000-06-15T00:00:00Z,5
2000-07-15T00:00:00Z,5
2000-08-15T00:00:00Z,2
2000-09-15T00:00:00Z,3
2000-09-15T00:00:00Z,5
2000-10-15T00:00:00Z,4
2000-10-15T00:00:00Z,4
2000-11-15T00:00:00Z,5
2000-11-15T00:00:00Z,5
2001-01-15T00:00:00Z,4
2001-01-15T00:00:00Z,4
2001-02-15T00:00:00Z,3
2001-02-15T00:00:00Z,3
2001-03-15T00:00:00Z,19
2001-03-15T00:00:00Z,24
2001-04-15T00:00:00Z,20
2001-04-15T00:00:00Z,19
2001-05-15T00:00:00Z,9
2001-05-15T00:00:00Z,19
2001-06-15T00:00:00Z,10
2001-07-15T00:00:00Z,8
2001-08-15T00:00:00Z,8
2001-09-15T00:00:00Z,6
2001-09-15T00:00:00Z,9
2001-10-15T00:00:00Z,7
2001-10-15T00:00:00Z,6
2001-11-15T00:00:00Z,3
2001-11-15T00:00:00Z,5
2001-12-15T00:00:00Z,3
2001-12-15T00:00:00Z,5
2002-01-15T00:00:00Z,5
2002-02-15T00:00:00Z,3
2002-03-15T00:00:00Z,3
2002-04-15T00:00:00Z,4
2002-04-15T00:00:00Z,6
2002-05-15T00:00:00Z,3
2002-05-15T00:00:00Z,4
2002-06-15T00:00:00Z,2
2002-07-15T00:00:00Z,3
2002-09-15T00:00:00Z,16
2002-09-15T00:00:00Z,11
2002-10-15T00:00:00Z,55
2002-10-15T00:00:00Z,113
2002-11-15T00:00:00Z,73
2002-12-15T00:00:00Z,70
2003-01-15T00:00:00Z,60
2003-02-15T00:00:00Z,69
2003-03-15T00:00:00Z,63
2003-03-15T00:00:00Z,54
2003-04-15T00:00:00Z,36
2003-04-15T00:00:00Z,36
2003-05-15T00:00:00Z,38
2003-06-15T00:00:00Z,33
2003-07-15T00:00:00Z,27
2003-08-15T00:00:00Z,16
2003-08-15T00:00:00Z,17
2003-09-15T00:00:00Z,21
2003-09-15T00:00:00Z,19
2003-10-15T00:00:00Z,8
2003-10-15T00:00:00Z,10
2003-11-15T00:00:00Z,4
2003-12-15T00:00:00Z,9
2003-12-15T00:00:00Z,12
2004-01-15T00:00:00Z,11
2004-01-15T00:00:00Z,17
2004-02-15T00:00:00Z,6
2004-02-15T00:00:00Z,14
2004-03-15T00:00:00Z,10
2004-04-15T00:00:00Z,5
2004-04-15T00:00:00Z,6
2004-05-15T00:00:00Z,3
2004-05-15T00:00:00Z,4
