time,demoic_acid_concentration
UTC,ppm
1992-03-15T00:00:00Z,21
1992-04-15T00:00:00Z,47
1994-06-15T00:00:00Z,6
1994-07-15T00:00:00Z,7
1994-08-15T00:00:00Z,4
1995-05-15T00:00:00Z,16
1995-06-15T00:00:00Z,10
1995-07-15T00:00:00Z,8
1996-05-15T00:00:00Z,5
1996-06-15T00:00:00Z,6
1996-07-15T00:00:00Z,2
1997-04-15T00:00:00Z,3
1997-05-15T00:00:00Z,2
1999-06-15T00:00:00Z,0
2000-04-15T00:00:00Z,11
2000-05-15T00:00:00Z,13
2000-06-15T00:00:00Z,16
2000-07-15T00:00:00Z,4
2001-04-15T00:00:00Z,28
2001-05-15T00:00:00Z,30
2001-06-15T00:00:00Z,22
2001-07-15T00:00:00Z,19
2001-08-15T00:00:00Z,13
2002-04-15T00:00:00Z,6
2002-05-15T00:00:00Z,11
2002-06-15T00:00:00Z,5
2003-05-15T00:00:00Z,88
2003-07-15T00:00:00Z,2
2003-08-15T00:00:00Z,21
2003-09-15T00:00:00Z,17
2004-05-15T00:00:00Z,8
2004-06-15T00:00:00Z,4
2004-07-15T00:00:00Z,5
2004-08-15T00:00:00Z,8
2005-05-15T00:00:00Z,29
2005-06-15T00:00:00Z,15
2005-07-15T00:00:00Z,10
2005-08-15T00:00:00Z,7
2006-04-15T00:00:00Z,7
2006-05-15T00:00:00Z,6
2006-06-15T00:00:00Z,4
2006-07-15T00:00:00Z,5
2007-04-15T00:00:00Z,5
2007-05-15T00:00:00Z,5
2007-06-15T00:00:00Z,5
2008-04-15T00:00:00Z,0
2008-05-15T00:00:00Z,1
2008-06-15T00:00:00Z,1
2009-04-15T00:00:00Z,2
2009-05-15T00:00:00Z,2
2009-06-15T00:00:00Z,2
2010-04-15T00:00:00Z,1
2010-05-15T00:00:00Z,2
2010-06-15T00:00:00Z,2
2010-07-15T00:00:00Z,1
2011-04-15T00:00:00Z,0
2011-05-15T00:00:00Z,1
2011-06-15T00:00:00Z,0
2011-07-15T00:00:00Z,0
2012-04-15T00:00:00Z,0
2012-05-15T00:00:00Z,0
2012-06-15T00:00:00Z,0
2012-07-15T00:00:00Z,0
2013-04-15T00:00:00Z,1
2013-05-15T00:00:00Z,1
2013-06-15T00:00:00Z,1
2013-07-15T00:00:00Z,1
2014-04-15T00:00:00Z,4
2014-05-15T00:00:00Z,4
2014-06-15T00:00:00Z,3
2015-03-15T00:00:00Z,1
2015-04-15T00:00:00Z,1
2015-05-15T00:00:00Z,138
2015-06-15T00:00:00Z,134
2015-07-15T00:00:00Z,96
2015-08-15T00:00:00Z,56
2015-09-15T00:00:00Z,34
2016-02-15T00:00:00Z,33
2016-03-15T00:00:00Z,30
2016-04-15T00:00:00Z,36
2016-05-15T00:00:00Z,31
2016-06-15T00:00:00Z,19
2016-07-15T00:00:00Z,14
2017-02-15T00:00:00Z,52
2017-03-15T00:00:00Z,36
2017-04-15T00:00:00Z,44
2017-05-15T00:00:00Z,18
2017-06-15T00:00:00Z,34
2017-07-15T00:00:00Z,10
2017-08-15T00:00:00Z,23
2018-02-15T00:00:00Z,12
2018-03-15T00:00:00Z,7
2018-04-15T00:00:00Z,5
2018-05-15T00:00:00Z,4
2018-06-15T00:00:00Z,3
2018-07-15T00:00:00Z,2
