time,fertilizer_applications
UTC,Normalized index
1945-01-01T00:00:00Z,-1.8674945
1946-01-01T00:00:00Z,-1.7984143
1947-01-01T00:00:00Z,-1.7190671
1948-01-01T00:00:00Z,-1.639943
1949-01-01T00:00:00Z,-1.6148859
1950-01-01T00:00:00Z,-1.598818
1951-01-01T00:00:00Z,-1.5228152
1952-01-01T00:00:00Z,-1.4576764
1953-01-01T00:00:00Z,-1.4160874
1954-01-01T00:00:00Z,-1.3942516
1955-01-01T00:00:00Z,-1.3741456
1956-01-01T00:00:00Z,-1.3869847
1957-01-01T00:00:00Z,-1.3463273
1958-01-01T00:00:00Z,-1.3218495
1959-01-01T00:00:00Z,-1.1828823
1960-01-01T00:00:00Z,-1.165683
1961-01-01T00:00:00Z,-1.11889
1962-01-01T00:00:00Z,-1.0136812
1963-01-01T00:00:00Z,-0.8539213
1964-01-01T00:00:00Z,-0.6851688
1965-01-01T00:00:00Z,-0.6029306
1966-01-01T00:00:00Z,-0.38635367
1967-01-01T00:00:00Z,-0.13431978
1968-01-01T00:00:00Z,0.010863921
1969-01-01T00:00:00Z,0.107198976
1970-01-01T00:00:00Z,0.11690907
1971-01-01T00:00:00Z,0.28612196
1972-01-01T00:00:00Z,0.2945472
1973-01-01T00:00:00Z,0.41063538
1974-01-01T00:00:00Z,0.5114693
1975-01-01T00:00:00Z,0.22293173
1976-01-01T00:00:00Z,0.69870234
1977-01-01T00:00:00Z,0.88316226
1978-01-01T00:00:00Z,0.5956715
1979-01-01T00:00:00Z,0.8815517
1980-01-01T00:00:00Z,0.8646904
1981-01-01T00:00:00Z,0.9328318
1982-01-01T00:00:00Z,0.61102706
1983-01-01T00:00:00Z,0.14462493
1984-01-01T00:00:00Z,0.66265184
1985-01-01T00:00:00Z,0.5849161
1986-01-01T00:00:00Z,0.33543608
1987-01-01T00:00:00Z,0.09787487
1988-01-01T00:00:00Z,0.27749425
1989-01-01T00:00:00Z,0.2994788
1990-01-01T00:00:00Z,0.42466897
1991-01-01T00:00:00Z,0.20684569
1992-01-01T00:00:00Z,0.25494522
1993-01-01T00:00:00Z,0.3718531
1994-01-01T00:00:00Z,0.54252267
1995-01-01T00:00:00Z,0.74711293
1996-01-01T00:00:00Z,1.0730047
1997-01-01T00:00:00Z,0.7147828
1998-01-01T00:00:00Z,0.6094366
1999-01-01T00:00:00Z,0.5001082
2000-01-01T00:00:00Z,0.61528766
2001-01-01T00:00:00Z,0.6938754
2002-01-01T00:00:00Z,1.4379501
2003-01-01T00:00:00Z,1.2998954
2004-01-01T00:00:00Z,1.8189435
2005-01-01T00:00:00Z,1.3962495
2006-01-01T00:00:00Z,1.6500777
2007-01-01T00:00:00Z,1.3727181
2008-01-01T00:00:00Z,1.2325065
2009-01-01T00:00:00Z,0.12078044
2010-01-01T00:00:00Z,0.7210453
2011-01-01T00:00:00Z,0.8113788
2012-01-01T00:00:00Z,0.15581024
2013-01-01T00:00:00Z,NaN
2014-01-01T00:00:00Z,NaN
2015-01-01T00:00:00Z,NaN
2016-01-01T00:00:00Z,NaN
2017-01-01T00:00:00Z,NaN
2018-01-01T00:00:00Z,NaN
