time,mean_cpue
UTC,ln(catch+1)
1990-01-01T00:00:00Z,0.16949391
1991-01-01T00:00:00Z,0.16382892
1992-01-01T00:00:00Z,0.37639475
1993-01-01T00:00:00Z,0.046209812
1994-01-01T00:00:00Z,0.009241962
1995-01-01T00:00:00Z,0.12444242
1996-01-01T00:00:00Z,0.09275335
1997-01-01T00:00:00Z,0.08041409
1998-01-01T00:00:00Z,0
1999-01-01T00:00:00Z,0
2000-01-01T00:00:00Z,0.116201445
2001-01-01T00:00:00Z,0.122773044
2002-01-01T00:00:00Z,NaN
2003-01-01T00:00:00Z,NaN
2004-01-01T00:00:00Z,NaN
2005-01-01T00:00:00Z,NaN
2006-01-01T00:00:00Z,NaN
2007-01-01T00:00:00Z,NaN
2008-01-01T00:00:00Z,NaN
2009-01-01T00:00:00Z,NaN
2010-01-01T00:00:00Z,NaN
2011-01-01T00:00:00Z,NaN
2012-01-01T00:00:00Z,2.6652176
2013-01-01T00:00:00Z,0.55814886
2014-01-01T00:00:00Z,3.2040849
2015-01-01T00:00:00Z,6.034881
2016-01-01T00:00:00Z,4.9155846
2017-01-01T00:00:00Z,3.4081216
2018-01-01T00:00:00Z,1.4293137
