time,year,month,mei,ONI,PDO,NPGO,NOI,NPH area,SST_box 0-75km 33N,SST_box 0-75km 39N,SST_box 0-75km 45N,SST_box 75-150km 33N,SST_box 75-150km 39N,SST_box 75-150km 45N,CHL_box 0-75km 33N,CHL_box 0-75km 39N,CHL_box 0-75km 45N,BEUTI 33N,BEUTI 39N,BEUTI 45N,CUTI 33N,CUTI 39N,CUTI 45N,DO 80-80 @50m,DO 80-80 @150m,DO 93.3-30 @50m,DO 93.3-30 @150m,DO 93.3-110 @50m,DO 93.3-110 @150m,DO NH05 @50m,DO NH05 @150m,DO NH25 @50m,DO NH25 @150m
1950-01-01,1950.0,1.0,NA,-1.5299999713897705,-2.130000114440918,-2.1883950233459473,2.6440000534057617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-02-01,1950.0,2.0,NA,-1.340000033378601,-2.9100000858306885,-1.4458314180374146,2.0769999027252197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.89,3.3,5.22,2.19,NA,NA,NA,NA,NA,NA
1950-03-01,1950.0,3.0,NA,-1.159999966621399,-1.1299999952316284,-0.9650356769561768,3.0910000801086426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.09,2.31,5.35,2.68,NA,NA,NA,NA,NA,NA
1950-04-01,1950.0,4.0,NA,-1.1799999475479126,-1.2000000476837158,-0.858788013458252,1.9229999780654907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85,2.79,5.04,2.37,NA,NA,NA,NA,NA,NA
1950-05-01,1950.0,5.0,NA,-1.0700000524520874,-2.2300000190734863,-0.6340821981430054,2.2109999656677246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.76,2.79,3.71,2.35,NA,NA,NA,NA,NA,NA
1950-06-01,1950.0,6.0,NA,-0.8500000238418579,-1.7699999809265137,-0.5809842944145203,1.0140000581741333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64,3.8,3.08,2.2,NA,NA,NA,NA,NA,NA
1950-07-01,1950.0,7.0,NA,-0.5400000214576721,-2.930000066757202,-0.7421143054962158,-0.335999995470047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.48,3.97,5.18,2.93,NA,NA,NA,NA,NA,NA
1950-08-01,1950.0,8.0,NA,-0.41999998688697815,-0.699999988079071,-0.5493841767311096,-0.23600000143051147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.89,3.6,NA,NA,NA,NA,NA,NA,NA,NA
1950-09-01,1950.0,9.0,NA,-0.38999998569488525,-2.140000104904175,-0.601544976234436,0.17000000178813934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-10-01,1950.0,10.0,NA,-0.4399999976158142,-1.3600000143051147,0.11943426728248596,-2.5399999618530273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
