time,year,month,mei,ONI,PDO,NPGO,NOI,NPH area,SST_box 0-75km 33N,SST_box 0-75km 39N,SST_box 0-75km 45N,SST_box 75-150km 33N,SST_box 75-150km 39N,SST_box 75-150km 45N,CHL_box 0-75km 33N,CHL_box 0-75km 39N,CHL_box 0-75km 45N,BEUTI 33N,BEUTI 39N,BEUTI 45N,CUTI 33N,CUTI 39N,CUTI 45N,DO 80-80 @50m,DO 80-80 @150m,DO 93.3-30 @50m,DO 93.3-30 @150m,DO 93.3-110 @50m,DO 93.3-110 @150m,DO NH05 @50m,DO NH05 @150m,DO NH25 @50m,DO NH25 @150m
1950-03-01,1950,4,NA,-1.1366666555404663,-1.5200000206629436,-0.819301962852478,2.408333341280619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8999999999999995,2.63,4.7,2.466666666666667,NA,NA,NA,NA,NA,NA
1951-03-01,1951,4,NA,0.12333333988984425,-0.8366666634877523,-0.7340316573778788,-0.9966667493184408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.755,4.095,4.25,2.3766666666666665,NA,NA,NA,NA,NA,NA
1952-03-01,1952,4,NA,0.27666666607062024,-0.8933333158493042,-0.5765812595685323,0.20733334620793661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.073333333333333,2.8000000000000003,5.213333333333334,2.356666666666667,NA,NA,NA,NA,NA,NA
1953-03-01,1953,4,NA,0.6800000071525574,-0.21333333229025206,1.2460800409317017,0.337333341439565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.140000000000001,3.5700000000000003,4.196666666666666,2.0766666666666667,NA,NA,NA,NA,NA,NA
1954-03-01,1954,4,NA,-0.3333333395421505,-0.6133333413551251,-0.15239995966355005,-0.5720000068346659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-03-01,1955,4,NA,-0.7600000103314718,-1.4800000190734863,0.02871504674355189,3.3626667261123657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.09,3.17,3.24,2.0,NA,NA,NA,NA,NA,NA
1956-03-01,1956,4,NA,-0.5633333325386047,-2.046666661898295,0.04223384646077951,2.346666693687439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11,3.415,3.76,2.1,NA,NA,NA,NA,NA,NA
1957-03-01,1957,4,NA,0.6833333472410837,0.006666669622063637,-1.2109766403834026,-1.8080000480016072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.28,4.46,3.96,2.03,NA,NA,NA,NA,NA,NA
1958-03-01,1958,4,NA,0.9799999992052714,0.8633333047231039,-0.9073460698127747,-3.34633332490921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.859999999999999,3.883333333333334,4.45,2.86,NA,NA,NA,NA,NA,NA
1959-03-01,1959,4,NA,0.34999999900658924,-0.24666666115323702,-0.4270738959312439,1.8769999742507935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.705,3.285,4.140000000000001,1.96,NA,NA,NA,NA,NA,NA
1960-03-01,1960,4,NA,-0.006666667138536771,0.26333334545294446,0.8585571050643921,1.2083333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.58,3.27,4.26,2.2325,NA,NA,NA,NA,NA,NA
1961-03-01,1961,4,NA,0.12000000228484471,0.12333333616455396,1.3689217170079548,1.294666697581609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.94,4.83,4.03,2.01,NA,NA,NA,NA,NA,NA
1962-03-01,1962,4,NA,-0.24666666487852731,-1.146666665871938,-0.6060359875361124,1.6383333206176758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.82,3.06,3.83,1.83,NA,NA,NA,NA,NA,NA
1963-03-01,1963,4,NA,0.2433333396911621,-0.5333333313465118,-0.778448611497879,0.5136666695276896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.03,3.44,4.22,2.07,NA,NA,NA,NA,NA,NA
1964-03-01,1964,4,NA,-0.2633333330353101,-1.2699999809265137,0.29124127825101215,3.521000067392985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94,2.38,NA,NA,NA,NA,NA,NA
1965-03-01,1965,4,NA,0.1900000050663948,-7.450580596923828e-09,-0.9937334259351095,0.31066668033599854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966-03-01,1966,4,NA,0.6633333464463552,-0.5866666448613008,-1.2156943281491597,-0.7760000129540762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.14,2.56,NA,NA,NA,NA,NA,NA
