time,year,month,mei,ONI,PDO,NPGO,NOI,NPH area,SST_box 0-75km 33N,SST_box 0-75km 39N,SST_box 0-75km 45N,SST_box 75-150km 33N,SST_box 75-150km 39N,SST_box 75-150km 45N,CHL_box 0-75km 33N,CHL_box 0-75km 39N,CHL_box 0-75km 45N,BEUTI 33N,BEUTI 39N,BEUTI 45N,CUTI 33N,CUTI 39N,CUTI 45N,DO 80-80 @50m,DO 80-80 @150m,DO 93.3-30 @50m,DO 93.3-30 @150m,DO 93.3-110 @50m,DO 93.3-110 @150m,DO NH05 @50m,DO NH05 @150m,DO NH25 @50m,DO NH25 @150m
1950-06-01,1950,7,NA,-0.6033333440621694,-1.800000011920929,-0.6241609255472819,0.14733335375785828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.670000000000001,3.7899999999999996,4.13,2.5650000000000004,NA,NA,NA,NA,NA,NA
1951-06-01,1951,7,NA,0.7233333190282186,-0.5866666833559672,-1.2380060752232869,-0.7036666572093964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.31,3.49,5.34,2.01,NA,NA,NA,NA,NA,NA
1952-06-01,1952,7,NA,-0.02666666607062022,-1.09333332379659,-1.0685770114262898,0.17033335038771233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.623333333333334,3.15,4.55,2.4233333333333333,NA,NA,NA,NA,NA,NA
1953-06-01,1953,7,NA,0.75,0.36000000064571697,0.9054611921310425,0.6880000134309133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.076666666666667,3.396666666666667,NA,NA,NA,NA,NA,NA,NA,NA
1954-06-01,1954,7,NA,-0.6599999864896139,0.4933333446582158,0.0038799370328585305,0.9333333472410837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-06-01,1955,7,NA,-0.7166666785875956,-2.3466666539510093,0.056870002299547195,1.7293333212534587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.23,2.94,NA,NA,NA,NA,NA,NA,NA,NA
1956-06-01,1956,7,NA,-0.5433333317438761,-1.2966666618982952,0.4915802776813507,2.697333335876465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.94,2.39,NA,NA,NA,NA,NA,NA
1957-06-01,1957,7,NA,1.2266666889190674,0.996666669845581,-0.943163275718689,0.37300000588099164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91,3.97,6.1,3.58,NA,NA,NA,NA,NA,NA
1958-06-01,1958,7,NA,0.546666661898295,1.09333332379659,-0.7406291166941324,-0.2676666776339213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.905,4.5,3.82,2.28,NA,NA,NA,NA,NA,NA
1959-06-01,1959,7,NA,-0.17666666954755783,-0.22666666905085245,-0.4246871570746104,-0.7540000180403391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.555,2.875,4.859999999999999,2.676666666666667,NA,NA,NA,NA,NA,NA
