time,cps_landings_coastwide
UTC,1000s metric tons
1945-01-01T00:00:00Z,NaN
1946-01-01T00:00:00Z,NaN
1947-01-01T00:00:00Z,NaN
1948-01-01T00:00:00Z,NaN
1949-01-01T00:00:00Z,NaN
1950-01-01T00:00:00Z,NaN
1951-01-01T00:00:00Z,NaN
1952-01-01T00:00:00Z,NaN
1953-01-01T00:00:00Z,NaN
1954-01-01T00:00:00Z,NaN
1955-01-01T00:00:00Z,NaN
1956-01-01T00:00:00Z,NaN
1957-01-01T00:00:00Z,NaN
1958-01-01T00:00:00Z,NaN
1959-01-01T00:00:00Z,NaN
1960-01-01T00:00:00Z,NaN
1961-01-01T00:00:00Z,NaN
1962-01-01T00:00:00Z,NaN
1963-01-01T00:00:00Z,NaN
1964-01-01T00:00:00Z,NaN
1965-01-01T00:00:00Z,NaN
1966-01-01T00:00:00Z,NaN
1967-01-01T00:00:00Z,NaN
1968-01-01T00:00:00Z,NaN
1969-01-01T00:00:00Z,NaN
1970-01-01T00:00:00Z,NaN
1971-01-01T00:00:00Z,NaN
1972-01-01T00:00:00Z,NaN
1973-01-01T00:00:00Z,NaN
1974-01-01T00:00:00Z,NaN
1975-01-01T00:00:00Z,NaN
1976-01-01T00:00:00Z,NaN
1977-01-01T00:00:00Z,NaN
1978-01-01T00:00:00Z,NaN
1979-01-01T00:00:00Z,NaN
1980-01-01T00:00:00Z,NaN
1981-01-01T00:00:00Z,117.5161
1982-01-01T00:00:00Z,111.801315
1983-01-01T00:00:00Z,68.29199
1984-01-01T00:00:00Z,63.4282
1985-01-01T00:00:00Z,57.592735
1986-01-01T00:00:00Z,64.07723
1987-01-01T00:00:00Z,71.69704
1988-01-01T00:00:00Z,72.10193
1989-01-01T00:00:00Z,73.143906
1990-01-01T00:00:00Z,61.042988
1991-01-01T00:00:00Z,54.352356
1992-01-01T00:00:00Z,50.17142
1993-01-01T00:00:00Z,37.011078
1994-01-01T00:00:00Z,30.790209
1995-01-01T00:00:00Z,58.195614
1996-01-01T00:00:00Z,56.039715
1997-01-01T00:00:00Z,81.241066
1998-01-01T00:00:00Z,72.70256
1999-01-01T00:00:00Z,79.30252
2000-01-01T00:00:00Z,107.287384
2001-01-01T00:00:00Z,109.988846
2002-01-01T00:00:00Z,110.50674
2003-01-01T00:00:00Z,80.7939
2004-01-01T00:00:00Z,103.65834
2005-01-01T00:00:00Z,102.496086
2006-01-01T00:00:00Z,111.67782
2007-01-01T00:00:00Z,146.6982
2008-01-01T00:00:00Z,110.46956
2009-01-01T00:00:00Z,83.15287
2010-01-01T00:00:00Z,71.14253
2011-01-01T00:00:00Z,52.933334
2012-01-01T00:00:00Z,112.311226
2013-01-01T00:00:00Z,82.20391
2014-01-01T00:00:00Z,46.275444
2015-01-01T00:00:00Z,29.628448
2016-01-01T00:00:00Z,17.732964
2017-01-01T00:00:00Z,10.693606
2018-01-01T00:00:00Z,22.463144
