time,total_fisheries_landings_ca
UTC,1000s metric tons
1945-01-01T00:00:00Z,NaN
1946-01-01T00:00:00Z,NaN
1947-01-01T00:00:00Z,NaN
1948-01-01T00:00:00Z,NaN
1949-01-01T00:00:00Z,NaN
1950-01-01T00:00:00Z,NaN
1951-01-01T00:00:00Z,NaN
1952-01-01T00:00:00Z,NaN
1953-01-01T00:00:00Z,NaN
1954-01-01T00:00:00Z,NaN
1955-01-01T00:00:00Z,NaN
1956-01-01T00:00:00Z,NaN
1957-01-01T00:00:00Z,NaN
1958-01-01T00:00:00Z,NaN
1959-01-01T00:00:00Z,NaN
1960-01-01T00:00:00Z,NaN
1961-01-01T00:00:00Z,NaN
1962-01-01T00:00:00Z,NaN
1963-01-01T00:00:00Z,NaN
1964-01-01T00:00:00Z,NaN
1965-01-01T00:00:00Z,NaN
1966-01-01T00:00:00Z,NaN
1967-01-01T00:00:00Z,NaN
1968-01-01T00:00:00Z,NaN
1969-01-01T00:00:00Z,NaN
1970-01-01T00:00:00Z,NaN
1971-01-01T00:00:00Z,NaN
1972-01-01T00:00:00Z,NaN
1973-01-01T00:00:00Z,NaN
1974-01-01T00:00:00Z,NaN
1975-01-01T00:00:00Z,NaN
1976-01-01T00:00:00Z,NaN
1977-01-01T00:00:00Z,NaN
1978-01-01T00:00:00Z,NaN
1979-01-01T00:00:00Z,NaN
1980-01-01T00:00:00Z,NaN
1981-01-01T00:00:00Z,243.54547
1982-01-01T00:00:00Z,226.27373
1983-01-01T00:00:00Z,183.20265
1984-01-01T00:00:00Z,166.88965
1985-01-01T00:00:00Z,148.01283
1986-01-01T00:00:00Z,175.22263
1987-01-01T00:00:00Z,180.71939
1988-01-01T00:00:00Z,230.78072
1989-01-01T00:00:00Z,297.29926
1990-01-01T00:00:00Z,220.34436
1991-01-01T00:00:00Z,302.27695
1992-01-01T00:00:00Z,137.83694
1993-01-01T00:00:00Z,144.87411
1994-01-01T00:00:00Z,143.52219
1995-01-01T00:00:00Z,191.35548
1996-01-01T00:00:00Z,208.18526
1997-01-01T00:00:00Z,218.66704
1998-01-01T00:00:00Z,116.9548
1999-01-01T00:00:00Z,210.7778
2000-01-01T00:00:00Z,250.03687
2001-01-01T00:00:00Z,202.14835
2002-01-01T00:00:00Z,175.41022
2003-01-01T00:00:00Z,119.83712
2004-01-01T00:00:00Z,135.76424
2005-01-01T00:00:00Z,146.24484
2006-01-01T00:00:00Z,155.43263
2007-01-01T00:00:00Z,178.93349
2008-01-01T00:00:00Z,145.97736
2009-01-01T00:00:00Z,168.95221
2010-01-01T00:00:00Z,205.25285
2011-01-01T00:00:00Z,191.83116
2012-01-01T00:00:00Z,167.31862
2013-01-01T00:00:00Z,166.6228
2014-01-01T00:00:00Z,175.00652
2015-01-01T00:00:00Z,94.96995
2016-01-01T00:00:00Z,72.42013
2017-01-01T00:00:00Z,101.90358
2018-01-01T00:00:00Z,86.95531
