time,total_fisheries_landings_coastwide
UTC,1000s metric tons
1945-01-01T00:00:00Z,NaN
1946-01-01T00:00:00Z,NaN
1947-01-01T00:00:00Z,NaN
1948-01-01T00:00:00Z,NaN
1949-01-01T00:00:00Z,NaN
1950-01-01T00:00:00Z,NaN
1951-01-01T00:00:00Z,NaN
1952-01-01T00:00:00Z,NaN
1953-01-01T00:00:00Z,NaN
1954-01-01T00:00:00Z,NaN
1955-01-01T00:00:00Z,NaN
1956-01-01T00:00:00Z,NaN
1957-01-01T00:00:00Z,NaN
1958-01-01T00:00:00Z,NaN
1959-01-01T00:00:00Z,NaN
1960-01-01T00:00:00Z,NaN
1961-01-01T00:00:00Z,NaN
1962-01-01T00:00:00Z,NaN
1963-01-01T00:00:00Z,NaN
1964-01-01T00:00:00Z,NaN
1965-01-01T00:00:00Z,NaN
1966-01-01T00:00:00Z,NaN
1967-01-01T00:00:00Z,NaN
1968-01-01T00:00:00Z,NaN
1969-01-01T00:00:00Z,NaN
1970-01-01T00:00:00Z,NaN
1971-01-01T00:00:00Z,NaN
1972-01-01T00:00:00Z,NaN
1973-01-01T00:00:00Z,NaN
1974-01-01T00:00:00Z,NaN
1975-01-01T00:00:00Z,NaN
1976-01-01T00:00:00Z,NaN
1977-01-01T00:00:00Z,NaN
1978-01-01T00:00:00Z,NaN
1979-01-01T00:00:00Z,NaN
1980-01-01T00:00:00Z,NaN
1981-01-01T00:00:00Z,470.10062
1982-01-01T00:00:00Z,416.89807
1983-01-01T00:00:00Z,350.56604
1984-01-01T00:00:00Z,346.97025
1985-01-01T00:00:00Z,337.43457
1986-01-01T00:00:00Z,427.4134
1987-01-01T00:00:00Z,461.0869
1988-01-01T00:00:00Z,494.8418
1989-01-01T00:00:00Z,556.2291
1990-01-01T00:00:00Z,465.76318
1991-01-01T00:00:00Z,511.3372
1992-01-01T00:00:00Z,458.1107
1993-01-01T00:00:00Z,395.24866
1994-01-01T00:00:00Z,489.39737
1995-01-01T00:00:00Z,452.66953
1996-01-01T00:00:00Z,508.26236
1997-01-01T00:00:00Z,527.31946
1998-01-01T00:00:00Z,411.5011
1999-01-01T00:00:00Z,502.2293
2000-01-01T00:00:00Z,545.43427
2001-01-01T00:00:00Z,477.73135
2002-01-01T00:00:00Z,434.36862
2003-01-01T00:00:00Z,390.78275
2004-01-01T00:00:00Z,480.90408
2005-01-01T00:00:00Z,543.51794
2006-01-01T00:00:00Z,542.3468
2007-01-01T00:00:00Z,517.597
2008-01-01T00:00:00Z,503.7726
2009-01-01T00:00:00Z,411.75137
2010-01-01T00:00:00Z,498.80887
2011-01-01T00:00:00Z,549.28735
2012-01-01T00:00:00Z,501.23825
2013-01-01T00:00:00Z,570.94916
2014-01-01T00:00:00Z,557.3428
2015-01-01T00:00:00Z,358.81592
2016-01-01T00:00:00Z,429.87888
2017-01-01T00:00:00Z,547.4149
2018-01-01T00:00:00Z,501.66406
