time,total_fisheries_landings_or
UTC,1000s metric tons
1945-01-01T00:00:00Z,NaN
1946-01-01T00:00:00Z,NaN
1947-01-01T00:00:00Z,NaN
1948-01-01T00:00:00Z,NaN
1949-01-01T00:00:00Z,NaN
1950-01-01T00:00:00Z,NaN
1951-01-01T00:00:00Z,NaN
1952-01-01T00:00:00Z,NaN
1953-01-01T00:00:00Z,NaN
1954-01-01T00:00:00Z,NaN
1955-01-01T00:00:00Z,NaN
1956-01-01T00:00:00Z,NaN
1957-01-01T00:00:00Z,NaN
1958-01-01T00:00:00Z,NaN
1959-01-01T00:00:00Z,NaN
1960-01-01T00:00:00Z,NaN
1961-01-01T00:00:00Z,NaN
1962-01-01T00:00:00Z,NaN
1963-01-01T00:00:00Z,NaN
1964-01-01T00:00:00Z,NaN
1965-01-01T00:00:00Z,NaN
1966-01-01T00:00:00Z,NaN
1967-01-01T00:00:00Z,NaN
1968-01-01T00:00:00Z,NaN
1969-01-01T00:00:00Z,NaN
1970-01-01T00:00:00Z,NaN
1971-01-01T00:00:00Z,NaN
1972-01-01T00:00:00Z,NaN
1973-01-01T00:00:00Z,NaN
1974-01-01T00:00:00Z,NaN
1975-01-01T00:00:00Z,NaN
1976-01-01T00:00:00Z,NaN
1977-01-01T00:00:00Z,NaN
1978-01-01T00:00:00Z,NaN
1979-01-01T00:00:00Z,NaN
1980-01-01T00:00:00Z,NaN
1981-01-01T00:00:00Z,83.11427
1982-01-01T00:00:00Z,72.98349
1983-01-01T00:00:00Z,68.16295
1984-01-01T00:00:00Z,92.97097
1985-01-01T00:00:00Z,95.89019
1986-01-01T00:00:00Z,140.67413
1987-01-01T00:00:00Z,159.24252
1988-01-01T00:00:00Z,133.16068
1989-01-01T00:00:00Z,160.12547
1990-01-01T00:00:00Z,154.1112
1991-01-01T00:00:00Z,113.44628
1992-01-01T00:00:00Z,179.94696
1993-01-01T00:00:00Z,153.57555
1994-01-01T00:00:00Z,170.98688
1995-01-01T00:00:00Z,170.48326
1996-01-01T00:00:00Z,140.08734
1997-01-01T00:00:00Z,175.56207
1998-01-01T00:00:00Z,158.08115
1999-01-01T00:00:00Z,118.5663
2000-01-01T00:00:00Z,164.65187
2001-01-01T00:00:00Z,178.29346
2002-01-01T00:00:00Z,156.45293
2003-01-01T00:00:00Z,160.85516
2004-01-01T00:00:00Z,196.4165
2005-01-01T00:00:00Z,246.45609
2006-01-01T00:00:00Z,236.80789
2007-01-01T00:00:00Z,197.03702
2008-01-01T00:00:00Z,179.45229
2009-01-01T00:00:00Z,117.28947
2010-01-01T00:00:00Z,152.90163
2011-01-01T00:00:00Z,186.61859
2012-01-01T00:00:00Z,205.0659
2013-01-01T00:00:00Z,270.65274
2014-01-01T00:00:00Z,287.2291
2015-01-01T00:00:00Z,180.67172
2016-01-01T00:00:00Z,245.33932
2017-01-01T00:00:00Z,290.77145
2018-01-01T00:00:00Z,263.103
