Population inc,Seafood,Landings,Landings-1,Exploitation,Exploitation-1,GDP,PDO,MEI,SST,Freshwater,NPI,Max Trawled Area,Cold pool,BTMP,Wind stress,Chlorophyll,Ice Retreat,NOD,GDP inc
4.206044727,23.4507064,2.414971292,,0.243715277,,0.047014741,0.11,1.05,5.570839447,0.013051473,0.87,,0.382978723,2.268561568,-0.0071,,13.63,33,
5.854622188,23.9042984,2.56779258,2.414971292,0.15932554,0.243715277,0.045271302,1.65,1.25,8.580962989,0.012484018,-2.32,,0.297450425,3.022111817,0.0019,,1.43,31,-0.037082816
2.744199856,24.0857352,2.96009431,2.56779258,0.193684665,0.15932554,0.04766803,0.84,-0.49,7.235075727,0.013618929,-1.06,,0.43943662,2.332630615,-0.00285,,16.6,36,0.052941442
3.054821664,28.803092,3.18204888,2.96009431,0.237312219,0.193684665,0.052387339,0.45,-0.44,6.626780013,0.01220029,0.61,,0.456090652,2.366937933,-0.01655,,19.95,36,0.099003651
2.082999519,27.0794424,3.175088437,3.18204888,0.23531392,0.237312219,0.038437822,1.24,0.42,5.676074656,0.012370527,-1.74,,0.519774011,1.859042188,0.0849,,17.18,42,-0.266276495
0.545440276,29.3927616,2.563803769,3.175088437,0.220781819,0.23531392,0.045940622,1.82,1.23,6.788433935,0.014753839,-1.2,,0.131578947,3.219913108,-0.00155,,0,38,0.195193162
0.491745697,27.0794424,3.69846095,2.563803769,0.238416925,0.220781819,0.04262408,0.53,-0.14,6.611918879,0.013051473,-0.23,,0.393767705,2.357164715,0.0479,,22.78,31,-0.072191926
1.522389219,28.3948592,3.346328199,3.69846095,0.195166124,0.238416925,0.04699871,-0.18,-0.53,6.663032283,0.011349107,1.38,,0.212464589,2.968706017,-0.0221,,3.88,35,0.102632831
1.30828966,29.6649168,3.623676308,3.346328199,0.196385951,0.195166124,0.050178983,-0.36,0.27,7.123981583,0.01220029,1.02,97783.247,0.47008547,2.447985107,0.11685,,7.41,40,0.06766724
0.203904391,29.3927616,3.97103326,3.623676308,0.292181288,0.196385951,0.044654085,-0.42,0.8,7.757687967,0.012484018,1.15,143630.3764,0.361823362,2.697271342,0.1244,,1.91,37,-0.110103826
3.293514715,28.576296,3.686578144,3.97103326,0.303544627,0.292181288,0.045595943,0.93,1.19,6.831765334,0.013335201,-0.97,138000.4138,0.56547619,2.014153584,-0.01185,,31.76,41,0.021092314
3.082704024,35.7430496,3.410601753,3.686578144,0.263583804,0.303544627,0.046660042,1.42,0.62,6.985300175,0.013335201,0.04,103620.2268,0.335211268,3.057916595,0.00755,,0,36,0.023337581
1.790770102,33.6111672,3.561753916,3.410601753,0.197687473,0.263583804,0.047303311,-0.15,0.75,5.546172266,0.012937982,0.77,118732.1638,0.591549296,1.571487511,-0.01695,,10.28,42,0.013786293
0.511091023,28.4402184,3.498709554,3.561753916,0.271810365,0.197687473,0.0509986,0.64,0.31,6.041731632,0.014186384,-0.04,106868.913,0.564606742,1.743776102,0.0127,,34.6,39,0.078119035
1.155349545,28.1680632,3.322686331,3.498709554,0.232406489,0.271810365,0.053579691,0.64,-0.51,6.593318928,0.013335201,-0.4,123203.6827,0.202816901,3.42355786,0.0119,,0,41,0.050611017
0.995109941,28.9845288,3.394073149,3.322686331,0.198508317,0.232406489,0.053449434,1.46,0.9,7.828897306,0.012484018,0,126043.8606,0.345505618,2.742179568,0.0083,0.619208643,23.41,31,-0.002431089
1.760682603,28.3495,2.97284824,3.394073149,0.263521418,0.198508317,0.048229137,0.25,0.72,7.460991022,0.010214197,-1.42,106518.5885,0.222535211,3.274582415,0.0404,0.674327062,1.5,32,-0.097667957
2.475544021,28.8938104,2.644943415,2.97284824,0.2409388,0.263521418,0.049551746,-1.06,-1.19,3.749935971,0.012427272,0,78274.554,0.759206799,0.828418317,0.08655,0.694334392,32.2,37,0.027423443
0.678615495,27.8505488,3.013298032,2.644943415,0.278393753,0.2409388,0.053970462,-0.59,-0.91,6.166211336,0.009930469,0.36,95532.4462,0.463068182,2.157805749,0.0589,0.707775797,0,47,0.08917377
0.228980553,28.8484512,3.402872506,3.013298032,0.30818341,0.278393753,0.057998408,-0.56,-0.28,5.817291956,0.010157451,-0.7,89382.1488,0.318309859,2.575046007,-0.02515,0.695283305,0,34,0.074632417
-0.199498037,29.937072,3.688928781,3.402872506,0.252432853,0.30818341,0.059733831,0.22,0.51,6.877016344,0.017370199,0.25,88742.0955,0.16056338,3.247580498,0.01625,0.693252211,0,32,0.029921908
1.189708538,30.9349744,3.723731433,3.688928781,0.224687293,0.252432853,0.06437699,0.97,0.73,7.782905986,0.013038289,-1.61,83517.9055,0.08988764,3.812242459,0.02935,0.676975537,0.02,40,0.077730809
0.576708619,31.4339256,3.757319689,3.723731433,0.284841542,0.224687293,0.071160371,0.34,0.46,8.308253246,0.01257688,-0.04,85999.1527,0.166197183,3.386655069,-0.0733,0.606916469,1.63,39,0.105369651
0.12038269,31.3432072,3.766776343,3.757319689,0.218407591,0.284841542,0.080713215,0.38,-0.16,7.224584558,0.011579563,-0.22,82973.2327,0.212464589,3.472955522,0.05495,0.625732034,0,42,0.134243876
0.822680673,31.7060808,3.759243484,3.766776343,0.263051919,0.218407591,0.089911359,0.19,0.22,5.587430424,0.01572396,0.66,83000.8114,0.480337079,1.874485049,-0.0222,0.740947693,1.79,31,0.113960818
-0.715541049,30.7988968,3.487002461,3.759243484,0.255528442,0.263051919,0.098764823,-0.2,-0.11,6.309288707,0.013964341,0.52,90183.659,0.556179775,1.786806089,0.0573,0.727272727,33.18,39,0.098468804
-1.210646099,28.6670144,2.861592778,3.487002461,0.222149129,0.255528442,0.109690375,-1.34,-0.86,4.237117065,0.012093077,0.29,97437.9552,0.684507042,1.290313631,-0.01825,0.818181818,49.99,29,0.110621896
0.403161297,27.895908,2.401781755,2.861592778,0.246099667,0.222149129,0.099323926,-0.61,0.11,4.671631471,0.012858457,2.16,71540.702,0.632022472,1.383927962,-0.01795,1.727272727,52.93,39,-0.09450646
0.175276459,28.8484512,2.417224216,2.401781755,0.201137218,0.246099667,0.105187493,-0.31,-0.23,5.136970515,0.013003536,-0.97,63218.5046,0.530898876,1.531228377,-0.02735,1,61.9,35,0.059034789
1.631990838,30.7081784,3.449336161,2.417224216,0.239029051,0.201137218,0.113742368,-1.23,-1.35,5.029540587,0.011287949,1.11,104851.5673,0.300561798,2.467097037,0.04275,0.454545455,23.12,33,0.081329774
2.635615238,29.9824312,3.515306293,3.449336161,0.251587978,0.239029051,0.117201191,-1.1,-0.52,4.877465453,0.013354798,0.75,92284.4626,0.738764045,1.007851377,-0.0761,1.863636364,68.87,53,0.030409275
0.283631706,30.1185088,3.667095713,3.515306293,0.241425307,0.251587978,0.114489843,-0.52,-0.15,6.245108093,0.014685087,0.74,95131.38,0.514044944,1.872943109,0.0047,0.409090909,36.7,34,-0.023134134
