Population inc,Seafood,GDP,Landings,Landings-1,Exploitation,Exploitation -1,SST,AMO,MEI,Chlorophyll,Freshwater,Wind,GS,NAO_w,GDP inc
,28.4402184,0.159938537,3.832234162,,0.8553999,,11.41458333,-0.09,-0.789916667,,0.187103182,0.0404,,-2.86,
,24.5846864,0.172655729,4.466832268,3.832234162,1.011824278,0.8553999,11.2328125,-0.153916667,0.718916667,,0.145886295,0.0561,,-2.88,0.079512994
,28.7577328,0.189742726,4.552033559,4.466832268,1.357779187,1.011824278,11.30145833,0.009833333,0.270916667,,0.182478123,0.0782,0.7519,-1.69,0.098965711
,31.9328768,0.201440144,3.848981978,4.552033559,1.195938587,1.357779187,11.35541667,-0.09225,-0.62975,,0.225437736,0.0359,-0.2201,1.28,0.061648835
,39.2810672,0.2161692,4.745791187,3.848981978,1.526840914,1.195938587,12.08885417,-0.161416667,-0.313666667,,0.215451845,0.0509,0.4457,-1.04,0.073118772
,26.4897728,0.234921983,5.266446104,4.745791187,1.270467945,1.526840914,12.13072917,0.01525,0.5315,,0.256062616,0.0439,-0.5833,-4.89,0.086750485
1.036830337,25.3557928,0.247648404,4.37710613,5.266446104,1.084708618,1.270467945,12.22479167,-0.097166667,-0.56825,,0.257553366,0.0546,-1.0397,-1.89,0.054172968
1.031605848,25.7640256,0.262668165,5.864089516,4.37710613,1.499650923,1.084708618,12.12802083,-0.3065,-1.4225,,0.239504233,0.034,-1.7312,-0.96,0.060649537
0.583272151,29.937072,0.287682642,6.011618157,5.864089516,1.392436715,1.499650923,12.01104167,-0.348083333,0.877583333,,0.353145271,0.0365,-1.2163,0.34,0.095232237
0.10023419,22.226008,0.31535038,6.052878622,6.011618157,1.092144088,1.392436715,12.6696875,-0.210416667,-0.475583333,,0.354947198,0.0352,-1.2562,2.52,0.096174513
0.040976597,20.9559504,0.336927155,5.07950104,6.052878622,0.709190378,1.092144088,12.8021875,-0.415583333,-1.1765,,0.279291354,0.0338,-0.7219,1.23,0.068421592
0.283602911,21.3641832,0.359385274,4.691486083,5.07950104,1.140844274,0.709190378,12.53541667,-0.293583333,-1.304916667,,0.299111288,0.0363,0.0346,1.63,0.066655711
0.15381818,24.1310944,0.393268563,3.8095295,4.691486083,0.877592477,1.140844274,12.20385417,-0.358666667,-0.10975,,0.311790538,0.0285,-0.6578,1.37,0.094281239
0.107938608,21.9084936,0.439329163,2.996476828,3.8095295,0.648075014,0.877592477,12.09708333,-0.184,0.623583333,,0.295924561,0.0569,-0.1485,-2.14,0.117122507
0.098671519,23.4507064,0.491605315,2.685612351,2.996476828,0.616695175,0.648075014,11.95229167,-0.174333333,0.120416667,,0.279123211,0.0581,-0.8932,0.17,0.118990853
0.11254043,23.8589392,0.544495177,2.568398473,2.685612351,0.528692654,0.616695175,12.42864583,-0.10475,0.514166667,,0.34929839,0.0355,-1.3722,-2.25,0.107586026
