Length,PD,LHTR,MTL,Rich,EN
41.69446028,0.0319693,2.409791377,3.699449449,155,17.89978849
41.29870348,0.035750517,2.416348754,3.687787788,176,19.23299397
40.90294668,0.039531734,2.422906131,3.676126126,197,20.56619944
40.41680687,0.031946635,2.435396373,3.675769066,188.6666667,19.936409
39.93066707,0.024361535,2.447886615,3.675412005,180.3333333,19.30661857
39.44452726,0.016776436,2.460376857,3.675054945,172,18.67682813
37.63469604,0.037317454,2.468447882,3.676523116,181.6666667,20.02574554
35.82486482,0.057858471,2.476518907,3.677991288,191.3333333,21.37466295
34.0150336,0.078399489,2.484589932,3.679459459,201,22.72358036
33.59398666,0.106677335,2.502973934,3.668901934,200,23.01541725
33.17293972,0.134955182,2.521357935,3.65834441,199,23.30725414
32.75189278,0.163233028,2.539741937,3.647786885,198,23.59909103
32.62188357,0.128718444,2.551773538,3.64539959,225.6666667,21.37315766
32.49187436,0.094203859,2.563805139,3.643012295,253.3333333,19.14722429
32.36186515,0.059689275,2.57583674,3.640625,281,16.92129092
32.25095084,0.060170073,2.602285177,3.637399789,277.6666667,16.28141476
32.14003653,0.060650871,2.628733615,3.634174578,274.3333333,15.64153861
32.02912222,0.061131669,2.655182052,3.630949367,271,15.00166245
32.50289026,0.050858298,2.598650348,3.635695411,275.6666667,17.96752089
32.97665831,0.040584928,2.542118645,3.640441456,280.3333333,20.93337933
33.45042635,0.030311557,2.485586941,3.6451875,285,23.89923777
34.70832462,0.025079514,3.297551971,3.68082625,242.916269,18.20976846
35.96622288,0.01984747,4.109517,3.716465,200.832538,12.52029915
34.24758364,0.03785572,3.792483,3.72138,276,13.03088609
33.56895948,0.02543635,8.376476,3.694492,188.0701931,16.86244465
32.75573002,0.22983614,2.243188,3.705665,193.0181736,18.20374909
33.13867714,0.1345087,3.102003,3.685736,275.3553716,19.7026365
34.53262874,0.02913741,3.966381,3.664417,269.8059394,19.54466668
33.30500775,0.24250869,1.567366,3.65308,230.4768659,18.71098226
33.30500775,0.01358039,7.332177,3.643856,224.318845,12.12301827
33.30500775,0.01162486,2.8222,3.65944,221.7779066,16.74216437
33.30500775,0.03047347,3.779949,3.645338,192.0332646,12.85330532
