year,value,Upper confidence interval,Lower confidence interval,metric,timeseries,Ecological Oceanographic or Human activities
1997,0.0122,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
1998,0.0785,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
1999,0.0761,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
2000,0.0787,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
2001,0.0942,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
2002,0.0427,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
2003,0.0798,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
2004,0.0717,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
2005,0.083,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
2006,0.0664,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
2007,0.0764,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
2008,0.0565,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
2009,0.0639,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
2010,0.0868,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
2011,0.06192,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
2012,0.0161,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
2013,0.0583,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
2014,0.012,NA,NA,Predicted daily growth rate,CA Sea lion pup growth,ecological
1997,18.986,19.0695,18.9025,Mean live pups (thousands),CA sea lion pup production,ecological
1998,9.154,9.209565,9.098435,Mean live pups (thousands),CA sea lion pup production,ecological
1999,19.577,19.71704,19.43696,Mean live pups (thousands),CA sea lion pup production,ecological
2000,19.161,19.24429,19.07771,Mean live pups (thousands),CA sea lion pup production,ecological
2001,19.019,19.103,18.935,Mean live pups (thousands),CA sea lion pup production,ecological
2002,20.826,20.90336,20.74864,Mean live pups (thousands),CA sea lion pup production,ecological
2003,16.302,16.40669,16.19731,Mean live pups (thousands),CA sea lion pup production,ecological
2004,18.212,18.33347,18.09053,Mean live pups (thousands),CA sea lion pup production,ecological
2005,20.372,20.42374,20.32026,Mean live pups (thousands),CA sea lion pup production,ecological
2006,19.695,19.78242,19.60758,Mean live pups (thousands),CA sea lion pup production,ecological
2007,24.126,24.3393,23.9127,Mean live pups (thousands),CA sea lion pup production,ecological
2008,24.718,25.35975,24.07625,Mean live pups (thousands),CA sea lion pup production,ecological
2009,12.018,12.20778,11.82822,Mean live pups (thousands),CA sea lion pup production,ecological
2010,14.258,14.4732,14.0428,Mean live pups (thousands),CA sea lion pup production,ecological
2011,26.002,26.70678,25.29722,Mean live pups (thousands),CA sea lion pup production,ecological
2012,24.993,25.27964,24.70636,Mean live pups (thousands),CA sea lion pup production,ecological
